review_id_1,review_id_2,review_1,review_2,comparison_status,reason,recovered_n1,recovered_n2,exact_intersection_recovered,exact_union_recovered,definitive_jaccard,observed_recovered_jaccard,intersection_min,intersection_max,jaccard_min,jaccard_max
RA04,RA10,Van Hoof et al. 2023,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA04,RA11,Van Hoof et al. 2023,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA04,RA12,Van Hoof et al. 2023,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,38,0,38,,0.0,,,,
RA05,RA06,Frappa et al. 2026,Thompson & Hughes 2023,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,11,8,0,19,0.0,0.0,,,,
RA05,RA07,Frappa et al. 2026,Maye & Hurley 2026,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,11,13,3,21,0.14285714285714285,0.14285714285714285,,,,
RA05,RA08,Frappa et al. 2026,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",11,0,0,11,,0.0,,,,
RA05,RA09,Frappa et al. 2026,Öcel & Su-Bergil 2025,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,11,25,0,36,0.0,0.0,,,,
RA05,RA10,Frappa et al. 2026,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",11,0,0,11,,0.0,,,,
RA05,RA11,Frappa et al. 2026,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",11,0,0,11,,0.0,,,,
RA05,RA12,Frappa et al. 2026,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",11,38,0,49,,0.0,,,,
RA06,RA07,Thompson & Hughes 2023,Maye & Hurley 2026,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,8,13,0,21,0.0,0.0,,,,
RA06,RA08,Thompson & Hughes 2023,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",8,0,0,8,,0.0,,,,
RA06,RA09,Thompson & Hughes 2023,Öcel & Su-Bergil 2025,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,8,25,0,33,0.0,0.0,,,,
RA06,RA10,Thompson & Hughes 2023,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",8,0,0,8,,0.0,,,,
RA06,RA11,Thompson & Hughes 2023,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",8,0,0,8,,0.0,,,,
RA06,RA12,Thompson & Hughes 2023,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",8,38,0,46,,0.0,,,,
RA07,RA08,Maye & Hurley 2026,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",13,0,0,13,,0.0,,,,
RA07,RA09,Maye & Hurley 2026,Öcel & Su-Bergil 2025,eligible-exact-recovered-lists,Both included-publication lists are complete for the analyzed review subset.,13,25,0,38,0.0,0.0,,,,
RA07,RA10,Maye & Hurley 2026,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",13,0,0,13,,0.0,,,,
RA07,RA11,Maye & Hurley 2026,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",13,0,0,13,,0.0,,,,
RA07,RA12,Maye & Hurley 2026,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",13,38,0,51,,0.0,,,,
RA08,RA09,Pan & Rickard 2018,Öcel & Su-Bergil 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,25,0,25,,0.0,,,,
RA08,RA10,Pan & Rickard 2018,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA08,RA11,Pan & Rickard 2018,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA08,RA12,Pan & Rickard 2018,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,38,0,38,,0.0,,,,
RA09,RA10,Öcel & Su-Bergil 2025,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",25,0,0,25,,0.0,,,,
RA09,RA11,Öcel & Su-Bergil 2025,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",25,0,0,25,,0.0,,,,
RA09,RA12,Öcel & Su-Bergil 2025,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",25,38,0,63,,0.0,,,,
RA10,RA11,Agarwal et al. 2021,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA10,RA12,Agarwal et al. 2021,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,38,0,38,,0.0,,,,
RA11,RA12,Murray et al. 2025,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,38,0,38,,0.0,,,,
