id,area,possibility,source_strata,aralearn_relationship,provisional_classification,recommendation,rationale,main_risk,next_phase
EXT16,social,peer review, collaboration and social comparison,"LMS; communities; institutional teaching",absent,"parameter-candidate|extension-candidate","defer implementation; retain taxonomy dimension","Relevant outside individual self-study","Moderation, privacy, anxiety and workload","#4; #6"
EXT17,mathematics,semantic mathematical input and property validation,"STACK; MathLive; mathematics literature",absent,"extension-candidate","retain; activate only for concrete math requirements","Text equality is insufficient for many mathematical tasks","CAS/runtime complexity; validity and correctness authority","#6 need; #7 ADR"
EXT18,relational,learner-constructed graph or geometry,"Cytoscape; JSXGraph; Blockly; assessment literature",absent,"extension-candidate","retain as separate domain-capability family","Construction can represent knowledge not captured by choices","Accessibility, mobile interaction and canonical state","#6; #7; #8"
EXT19,programming,code editing/execution/testing/debugging,"Pyodide; Papyros; OpenDSA; programming reviews",absent,"extension-candidate|connected-capability-candidate","defer pending course and profile need","Execution supports authentic programming practices","Security, package size, test secrecy and feedback quality","#6; #7"
EXT20,humanities,learner source annotation and evidence linking,"Recogito; open-response literature; humanities scenarios",absent,"extension-candidate","retain for source-analysis profile","Allows evidence selection distinct from author annotations","Selector stability, accessibility and assessment authority","#6; #7; #8"
EXT21,open_response,rubric-based or human-reviewed text response,"open-text assessment review; institutional teaching",absent,"extension-candidate","represent in domain; defer automatic authority","Needed for explanation and argumentation","Reviewer workload; reliability; privacy","#4 policy; #5; #6"
EXT22,open_response,probabilistic AI assistance for response analysis,"open-text assessment; GenAI guidance",absent,"connected-capability-candidate|research-only","permit only as explicit assistance, not default authority","May scale feedback and triage","Validity, bias, opacity and network dependence","#4; #5; #6; #7"
EXT23,science,simulation and manipulable models,"PhET; simulation meta-analysis; virtual-lab review",absent,"extension-candidate","retain as capability class; no baseline implementation","Some objectives require decisions and model state","Large stacks; accessibility; domain specificity","#6; #7"
EXT24,geospatial,maps and spatial layers,"Leaflet; geography/history/environment scenarios",absent,"extension-candidate","retain for domain-specific need","Coordinate plane does not replace geographic semantics","Tiles, licensing, offline maps and nonvisual alternatives","#6; #7"
EXT25,music,structured musical notation,"OpenSheetMusicDisplay; domain comparison",absent,"extension-candidate","documentation and future candidate","Music requires pitch, rhythm, voices and notation grammar","Renderer is not editor/validator; playback and accessibility","#6 when needed"
EXT26,science,molecular and scientific structure viewer,"Mol*; chemistry representation literature",absent,"extension-candidate","defer pending science course need","Formula and reaction text do not cover 3D structure","WebGL, package size and visual accessibility","#6; #7"
EXT27,engineering,digital circuit construction and simulation,"CircuitVerse; professional scenarios",absent,"extension-candidate","defer pending curriculum need","Circuit topology and behavior form a legitimate grammar","Drag interaction, simulator size and domain specificity","#6; #7"
EXT28,language,TTS derived from canonical text,"language antecedents; accessibility; successor vision",absent,"connected-capability-candidate|extension-candidate","retain as derived rendition candidate","Useful for language and accessibility without binary course content","Voice quality, network, licensing and pronunciation validity","#4 availability; #6; #7"
EXT29,language,speech recording and pronunciation assessment,"language platforms; stakeholder needs",absent,"research-only|connected-capability-candidate","defer until privacy and validity evidence","Could support speaking practice absent from AraLearn","Biometric/privacy concerns and scoring validity","#3 focused review; #5; #6"
EXT30,instruments,calculator, dictionary, grammar and domain reference tools,"first brainstorming; platforms; domain scenarios",absent,"parameter-candidate|extension-candidate","model instrument permission and availability","Tools alter task conditions and can support authentic practice","Dependency, licensing and assessment comparability","#4 instrument policy; #6"
EXT31,research,pre/post/delayed tests, questionnaires, scales, interviews and diaries,"research methods; master's curriculum; institutional research",absent,"core-capability-candidate|extension-candidate","include as research-instrument model","Needed for more than click analytics","Consent, licensing of instruments and participant burden","#5; #6"
EXT32,analytics,protocol-declared event vocabulary and metrics,"learning analytics; privacy literature; successor vision",absent,"core-capability-candidate|parameter-candidate","include with collection off by default outside declared need","Supports reproducible research and personal analytics","Surveillance and construct overclaiming","#4; #5"
EXT33,provenance,source anchoring, contradiction and evidence access,"successor vision; humanities systems; institutional contexts",partial,"core-capability-candidate|parameter-candidate","prioritize basic provenance; defer confidence scores","Supports audit, trust and repair","Copyright, restricted sources and false precision","#4; #6"
EXT34,governance,consent, withdrawal, pseudonymization, retention and access,"research ethics; GDPR/LGPD contexts",absent,"structural-candidate|core-capability-candidate","required for research profile","Necessary for legitimate participant data use","Jurisdiction and institutional variation","#5; #6; #7"
EXT35,governance,confidential/public/commercial/experimental content policies,"CETESB and institutional scenarios; successor vision",partial,"parameter-candidate|core-capability-candidate","include visibility and export policy","One product must support personal and institutional contexts","Mispublication and data leakage","#4; #6"
EXT36,authoring,non-programmer structured authoring and schema discovery,"ITS authoring review; H5P/Numbas; MCP experience",partial,"structural-candidate|core-capability-candidate","make MCP authorability a quality gate","Extensibility is useless if authors cannot use it reliably","Schema overload and hidden technical knowledge","#6; #7; #8"
EXT37,accessibility,accommodation precedence over course policy,"WCAG; stakeholder scenarios; research governance",absent,"structural-candidate|parameter-candidate","include explicit precedence model","Accessibility cannot be a renderer afterthought","Conflict with locked research conditions","#4; #5; #8"
EXT38,localization,interface/course/agent language and institutional terminology,"successor vision; multilingual platforms",partial,"parameter-candidate","include in first taxonomy","Supports Brazil, Portugal and institutional vocabulary","Translation drift and layout expansion","#4; #8"
EXT39,extension_governance,installed approved capability catalogue,"H5P/XBlock/Jupyter precedents; benchmark",absent,"structural-candidate","recommend concept; defer exact architecture","Balances extensibility with safety and MCP discovery","Versioning, supply chain and fragmentation","#6; #7"
EXT40,universal_runtime,arbitrary course-supplied component code,"H5P/XBlock/Jupyter risk analysis",absent,"not-recommended","exclude from course content","Would maximize theoretical extensibility","Security, portability, accessibility and maintenance surface","#6 prohibition decision"
