parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
reveal.trigger,reveal,Gatilho de revelação,"Condição em que a resposta, solução ou modelo pode ser shown.",accepted,explicit-value,"learner-requested answer reveal","never|learner-request|after-submit|after-n-attempts|after-time|after-set|after-condition|author-controlled",practice|course|condition,learner|author|institution|research-protocol,"purpose and stakes constrain; accessibility does not remove access to correction but may change timing",supported,"Preserve learner-request in AraLearn profile; recommend after-attempt or learner-request for formative use; restrict in summative measurement.","practice.purpose|attempts.limit|consequence.level","unrestricted reveal before consequential submission","Reveal requests are not failure evidence.","Reveal control requires clear label, confirmation only when consequence is material, and accessible focus handling.",#4|#6|#8
reveal.content,reveal,Conteúdo revelado,"Quantidade e tipo de information exposed by reveal.",accepted,explicit-value,"canonical answer plus after explanation where authored","result-only|correct-response|solution-steps|worked-example|rubric|source-evidence",practice|resource|condition,author|research-protocol,"capability and content contract constrain; protocol may lock",supported,"Separate correct response from explanation; recommend concise answer plus actionable explanation for formative profile.","feedback.content|response.form","rubric or hidden tests exposed before consequential completion","Record content version, not merely reveal event, in reproducible research.","Provide text alternatives and avoid inaccessible-only solution representations.",#4|#5|#6|#8
feedback.result,feedback,Feedback de resultado,"Whether correctness, partiality, validity or review status is communicated.",accepted,explicit-value,"correct/incorrect after confirmation","none|validity-only|correctness|partiality|review-required|unsupported",practice|condition,author|research-protocol|institution,"purpose and evaluation authority constrain",supported,"Keep independent from content feedback; correctness-only is permitted but not preferred as sole formative feedback.","response.validity_policy|evaluation.authority","result shown before locked summative submission","Result event alone does not establish learning.","Status must be conveyed programmatically and not by color alone.",#4|#5|#6|#8
feedback.content,feedback,Conteúdo do feedback,"Pedagogical information accompanying or following the result.",accepted,explicit-value,"canonical after explanation; local option feedback optional","none|correct-response|conceptual-explanation|error-specific|hint|worked-example|step-feedback|study-recommendation|human-comment",practice|course|condition,author|research-protocol,"protocol may lock; learner can control display in personal profile",supported,"Recommend concise elaborated feedback; allow layered composition; do not equate length with quality.","feedback.result|feedback.timing|attempts.sequence","probabilistic error diagnosis presented as fact","Feedback type and source must be recorded for research.","Feedback must be actionable, plain-language, programmatically associated and available in accessible formats.",#4|#5|#6|#8
feedback.timing,feedback,Momento do feedback,"Temporal or item-relative position in which feedback becomes available.",accepted,implicit-value,"after item confirmation or reveal","immediate|after-attempt|after-item|after-set|after-n-items|after-duration|later-review|manual-release",practice|course|condition,author|institution|research-protocol,"summative and protocol locks precede learner preference; personal profile may choose",mixed,"No universal winner; default immediate/after-attempt for low-consequence deterministic practice, with explicit alternatives.","attempts.sequence|practice.purpose","timing label without quantified delay or event reference","Record actual availability time only when authorized and needed.","Time delays and notifications must not create inaccessible deadlines.",#4|#5|#6|#8
feedback.persistence,feedback,Persistência do feedback,"How long feedback remains available and where it can be revisited.",accepted,implicit-value,"available in current card after interaction; canonical after content persists","transient|current-attempt|session|card-persistent|course-persistent|exportable",practice|course|deployment,author|institution|research-protocol,"privacy and retention constraints precede author preference",insufficient,"Recommend card-persistent canonical explanation in personal study; defer event-history retention to #5.","privacy.retention|feedback.content","persistent sensitive human feedback without access policy","Persistence is content availability, not automatic event retention.","Learners need predictable re-access without relying on transient toast messages.",#5|#6|#8
consequence.level,consequence,Nível de consequência,"Effect of a response or score on progress, grade, access, certification or external decision.",accepted,explicit-value,"structural progress only; no grade or ranking","none|structural-progress|mastery-gate|low-stakes-score|course-grade|certification|external-high-stakes",practice|course|condition|deployment,author|institution|research-protocol,"legal/ethics > consent > research protocol > institution > author; learner preference controls personal use only",mixed,"AraLearn default none/structural-progress; consequential assessment must be separate and explicit.","practice.purpose|evaluation.credit_policy|attempts.limit","high-stakes with probabilistic sole authority or unrestricted reveal","Consequences require question, formula, access and prohibited-inference record.","Accommodations, review and appeal are mandatory for consequential use.",#5|#6|#8
consequence.score_visibility,consequence,Visibilidade de pontuação,"Who sees item, set or aggregate scores and when.",accepted,absent,"no score","hidden|learner-only|author|teacher|researcher-pseudonymous|institution|public",practice|course|condition,learner|institution|research-protocol,"privacy/consent precede institutional visibility; public visibility is never default",mixed,"Default learner-only or hidden; no ranking or public comparison in first profile.","consequence.level|privacy.access","public or peer-visible individual scores without explicit purpose and consent","Visibility is distinct from collection and retention.","Score presentation must include meaning and limitations, not color-only status.",#5|#6|#8
consequence.aggregation,consequence,Agregação de tentativas,"How multiple responses are combined into an official result.",accepted,not-applicable,"no official score","first|latest|highest|average|attempt-weighted|mastery-latest|rubric-evidence|no-aggregation",course|assessment|condition,institution|author|research-protocol,"consequence policy controls; learner cannot change official aggregation",insufficient,"Accept dimension, defer default selection; prohibit silent highest-score or average across unlike formats.","attempts.limit|evaluation.credit_policy","cross-format aggregation without calibration","Formula and attempt eligibility must be versioned.","Aggregation must account for approved accommodations and avoid penalizing them without construct justification.",#5|#6
accessibility.response_accommodation,accessibility,Acomodação de resposta,"Approved alternative input, navigation or expression method used to remove barriers.",accepted,implicit-value,"textual structured resources with keyboard-oriented controls; no general accommodation model","none|alternative-control|alternative-modality|assistive-technology|human-scribe|equivalent-task|custom",learner|course|condition,accessibility-authority|institution,"legal/accessibility and participant rights precede course or protocol; construct impact must be documented",supported,"Structural requirement; define as overlay, not ordinary pedagogical preference.","response.form|practice.purpose|consequence.level","denial of required accommodation; silent construct change","Accommodation use is sensitive data and not ordinary analytics.","Must work with assistive technology and retain clear instructions, error identification and correction.",#5|#6|#8
accessibility.time_policy,accessibility,Política de tempo de resposta,"Whether response time is unconstrained, limited, extendable or accommodated.",accepted,implicit-value,"no card timer","unlimited|fixed|extendable|accommodated|essential-task-time",practice|assessment|condition,institution|research-protocol|accessibility-authority,"accessibility requirement overrides unless time is the construct and an ethical alternative is defined",supported,"Preserve unlimited in AraLearn profile; time limits require explicit construct and consequence rationale.","practice.purpose|consequence.level","nonessential fixed limit without extension path","Timing events are collected only under approved protocol.","Warn before expiry, allow extension where possible and preserve entered response.",#5|#6|#8
telemetry.attempt_capture,instrumentation,Captura de eventos de tentativa,"Whether and which attempt-level events are persisted for personal analytics or research.",deferred,explicit-value,"none","none|current-state-only|protocol-events|personal-history|institutional-authorized",condition|deployment|protocol,learner|research-protocol|institution,"consent, withdrawal, minimization and retention precede all collection",mixed,"Defer normative fields to P4/#5; preserve none as AraLearn reference and prohibit convenience collection.","attempts.*|privacy.retention|research-question","feature availability interpreted as collection permission","Attempt data may be sensitive and must not become attention, effort or ability inference by default.","Accessibility interactions must not be used to profile disability without explicit lawful purpose.",#5
response.confidence_elicitation,metacognition,Registro de confiança,"Whether the learner reports confidence in a response before feedback.",deferred,absent,"none","none|optional|required|adaptive",practice|condition,learner|author|research-protocol,"research protocol may lock within consent; accessibility can alter control",mixed,"Defer to P3/P4; evidence shows diagnostic value but repeated prompts may add burden.","feedback.content|telemetry.attempt_capture","required confidence in every low-friction practice","Confidence is not correctness or competence and needs its own construct.","Offer accessible scale and skip unless methodologically required.",#4|#5
consequence.ranking,consequence,Ranking e comparação social,"Whether individual performance is ordered or shown relative to others.",rejected,explicit-value,"none","none|private-percentile|cohort-ranking|leaderboard",course|deployment,institution|author,"institutional use would require later strategic decision, ethics and UX review",insufficient,"Reject from first taxonomy version as active capability; preserve none as default and revisit only with focused evidence.","consequence.score_visibility|privacy","public ranking in personal or research profiles","Ranking changes motivation and behavior and cannot be inferred as learning benefit.","High exclusion, anxiety and accessibility risks.",#4|#5|#6
