parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,evidence_status,recommendation,downstream_handoff
ai.function,AI-assistance,Função da IA,"Papel delimitado desempenhado pelo modelo na autoria, estudo, auditoria ou administração.",accepted,explicit-value,course-authoring|audit|repair-via-MCP,none|brainstorm|plan|compose-microsequence|generate-card|explain|hint|question|critique|audit|repair|summarize|translate|classify|recommend-configuration|compare-variants,chat|workspace|course|microsequence|card|condition|learner,learner|author|reviewer|institution|research-protocol,mixed,Separar funções e contratos; privilegiar autoria/auditoria/reparo com revisão humana e assistência de estudo sob demanda.,#5|#6|#7|#8
ai.initiation,AI-assistance,Iniciação da assistência,Quem ou o que inicia uma operação de IA.,accepted,explicit-value,user-chat-request|workflow-step,user-request|user-selected-action|system-suggestion|author-workflow|reviewer-workflow|protocol-step|automatic-candidate,chat|workspace|course|microsequence|card|condition,learner|author|reviewer|institution|research-protocol|system,supported,Padrão: solicitação explícita ou ação selecionada; sugestões são visíveis e recusáveis; evitar execução automática silenciosa.,#5|#6|#8
ai.context_scope,AI-assistance,Escopo de contexto,"Conteúdo, versões, dependências, comentários e fontes autorizados para a operação.",accepted,implicit-value,bounded-course-or-part-context,current-card|microsequence|selected-set|course-neighborhood|course-version|authorized-cross-course|source-corpus|workspace|protocol-snapshot,chat|workspace|course|condition,user|author|reviewer|institution|research-protocol,supported,"Usar contexto mínimo, explícito e inspecionável; acesso entre cursos exige permissão e provenance.",#5|#6|#7
ai.grounding_policy,AI-assistance,Ancoragem e fontes,"Regras para vincular saída de IA a artefatos, contratos, bibliografia e evidência recuperável.",accepted,implicit-value,repository-contracts|selected-source-context,none|provided-context|repository-artifacts|approved-sources|retrieval-with-citations|source-locked|human-supplied-evidence,chat|workspace|course|microsequence|card|condition,author|reviewer|research-protocol|institution,supported,"Exigir grounding para afirmações verificáveis e autoria acadêmica; distinguir conteúdo original, adaptação e inferência.",#5|#6|#7
ai.output_status,AI-assistance,Estado da saída,"Classificação explícita do produto gerado antes e depois de validação, auditoria ou aprovação.",accepted,implicit-value,draft-until-validated-and-applied,suggestion|draft|validated-structure|audited|human-approved|published|rejected|superseded,chat|workspace|course|microsequence|card|condition,product|author|reviewer|research-protocol,supported,Toda saída começa como sugestão/draft; estados superiores exigem validação e autoridade separadas.,#5|#6|#8
ai.authority,AI-assistance,Autoridade da IA,"Decisões que o modelo pode sugerir, preparar, validar deterministicamente ou aplicar.",accepted,explicit-value,suggest|prepare-draft|invoke-validation,suggest-only|draft-write|deterministic-operation|apply-with-confirmation|apply-low-risk-reversible|protocol-fixed-output|no-authority,chat|workspace|course|microsequence|card|condition,learner|author|reviewer|institution|research-protocol|product,supported,"IA é assistente, não professora ou editora final; aplicação/publicação requer confirmação humana explícita.",#5|#6|#7|#8
ai.review_requirement,AI-assistance,Revisão humana e independente,"Tipo de revisão exigida antes de uso, publicação ou decisão.",accepted,explicit-value,builder-then-auditor-then-repair,none|self-review|independent-AI-audit|human-review|expert-review|dual-review|protocol-review|risk-tiered,workspace|course|microsequence|card|condition,author|reviewer|expert|institution|research-protocol,supported,"Preservar construtor → auditor → reparo, mas exigir revisão humana para decisões normativas, conteúdo sensível e publicação.",#5|#6|#7|#8
ai.validation_policy,AI-assistance,Validação,"Métodos determinísticos, semânticos e humanos usados para verificar saída.",accepted,explicit-value,schema|validator|preview|audit,none|schema|referential-integrity|deterministic-tests|source-check|semantic-audit|accessibility-audit|human-walkthrough|research-equivalence,workspace|course|microsequence|card|condition,product|author|reviewer|expert|research-protocol,supported,Separar validação estrutural determinística de qualidade pedagógica e evidência educacional.,#5|#6|#7|#8
ai.uncertainty_policy,AI-assistance,Incerteza e confiabilidade,"Como limitações, possibilidade de erro e confiança são comunicadas e usadas.",accepted,absent,,none|generic-disclaimer|task-specific-warning|unsupported-claim-marker|confidence-candidate|source-status|request-human-check,chat|workspace|course|microsequence|card,product|AI-assistant|author|research-protocol,mixed,"Usar avisos e estados específicos ao risco, não scores opacos como verdade; combinar com revisão ativa quando necessário.",#5|#6|#8
ai.provenance_policy,AI-assistance,Proveniência da IA,Metadados necessários para reconstruir origem e transformação da saída.,accepted,implicit-value,run/issue/PR/source-artifact traceability,none|provider-model-version|prompt-template|context-snapshot|source-list|parameter-profile|diff|review-chain|full-reproducibility-record,workspace|course|microsequence|card|condition,product|author|institution|research-protocol,supported,"Registrar modelo/provedor quando permitido, contexto autorizado, perfil, diff, fontes e cadeia de revisão sem guardar conversas desnecessárias.",#5|#6|#7
ai.editability,AI-assistance,Editabilidade,"Capacidade de modificar, aceitar parcialmente, substituir ou rejeitar saída da IA.",accepted,explicit-value,localized-repair|user-comments|version-selection,none|accept-reject|field-edit|diff-edit|partial-apply|fork|comment-and-request-repair|restore-version,chat|workspace|course|microsequence|card,learner|author|reviewer|institution,supported,Oferecer edição granular e parcial; alterações geram provenance e nova versão quando necessário.,#5|#6|#8
ai.contestability,AI-assistance,Contestação,"Como decisões, recomendações e reparos de IA podem ser questionados e escalados.",accepted,absent,,none|request-explanation|flag-error|provide-counterevidence|human-review|expert-escalation|revert|protocol-appeal,chat|workspace|course|condition|learner,learner|author|reviewer|institution|research-protocol,supported,"Toda recomendação relevante deve permitir erro situado, contraprova, revisão e reversão; comentário no ARA e chat são canais complementares.",#5|#6|#8
ai.data_boundary,AI-assistance,Fronteira de dados,"Dados que podem ser enviados ao modelo, recuperados por MCP ou persistidos.",accepted,implicit-value,bounded-authorized-artifacts,public-only|authorized-course|selected-microsequences|workspace|pseudonymized-research|personal-opt-in|no-sensitive-data|local-model-candidate,deployment|workspace|course|condition|learner,learner|author|institution|research-protocol|privacy-rule,supported,"Aplicar minimização, seleção explícita e isolamento de workspaces; comentários/observações podem conter dados sensíveis.",#5|#6|#7
ai.retention_policy,AI-assistance,Retenção de interação e saída,"O que é salvo de prompts, respostas, diffs e decisões e por quanto tempo.",accepted,absent,,ephemeral|save-output-only|save-diff-and-provenance|save-approved-artifact|protocol-locked|user-exportable|deletable,deployment|workspace|condition|learner,learner|author|institution|research-protocol|privacy-rule,supported,"Não guardar conversa completa por padrão; preservar artefato, diff, fontes e decisões necessários à rastreabilidade.",#5|#6|#7
ai.provider_policy,AI-assistance,Política de modelo e provedor,"Como capacidades de IA são selecionadas, substituídas e declaradas entre implantações.",accepted,absent,,fixed-version|approved-list|profile-specific|user-selected|institution-selected|local-candidate|connected-candidate|unavailable,deployment|workspace|condition,institution|deployment-admin|research-protocol|user where permitted,operational-choice,Não vincular domínio a provedor; mudanças devem ser explícitas e experimentos podem bloquear versão/modelo.,#5|#6|#7
ai.offline_fallback,AI-assistance,Fallback offline,Comportamento do produto quando a IA conectada não está disponível.,accepted,implicit-value,baseline-study-without-live-LLM,no-AI-baseline|queued-request|local-candidate|human-later|deterministic-tools-only|required-online-explicit,deployment|workspace|course|condition|learner-device,product|author|institution|research-protocol,supported,Manter estudo e operações determinísticas essenciais sem LLM; pedidos podem ser enfileirados sem simular resultado.,#5|#6|#7|#8
ai.failure_behavior,AI-assistance,Falha e recuperação,"Como erros, timeouts, recusas, saídas inválidas e contexto insuficiente são tratados.",accepted,absent,,fail-explicit|retry-bounded|request-more-context|return-draft-with-warning|human-escalation|queue|rollback|capability-unavailable,chat|workspace|course|microsequence|card|condition,product|author|reviewer|institution|research-protocol,supported,"Falhar explicitamente, preservar estado e oferecer reparo localizado; não preencher lacunas silenciosamente.",#5|#6|#7|#8
ai.reproducibility_policy,AI-assistance,Reprodutibilidade,Nível de estabilidade exigido para repetir ou comparar operações de IA.,accepted,absent,,none|best-effort|prompt-and-context-locked|model-version-locked|output-snapshot|human-approved-reference|protocol-replicable,workspace|course|condition,author|institution|research-protocol|product,mixed,"Experimentos bloqueiam contexto, perfil, modelo quando possível e sempre preservam saída/diff; autoria comum pode ser best-effort com provenance.",#5|#6|#7
