primary_publication_id,canonical_key,first_author,year,year_suffix,title,doi,citation_label,metadata_status,notes
PP0024,ay:anders:2022::,Anders,2022,,,,Anders 2022,author-year-only,Full bibliographic normalization pending.
PP0025,ay:biwer:2022::,Biwer,2022,,,,Biwer 2022,author-year-only,Full bibliographic normalization pending.
PP0026,ay:blasiman:2017::,Blasiman,2017,,,,Blasiman 2017,author-year-only,Full bibliographic normalization pending.
PP0027,ay:breckwoldt:2016::,Breckwoldt,2016,,,,Breckwoldt 2016,author-year-only,Full bibliographic normalization pending.
PP0028,ay:brownkramer:2021::,Brown-Kramer,2021,,,,Brown-Kramer 2021,author-year-only,Full bibliographic normalization pending.
PP0029,ay:burdo:2015::,Burdo,2015,,,,Burdo and O’Dwyer 2015,author-year-only,Full bibliographic normalization pending.
PP0030,ay:cadaret:2018::,Cadaret,2018,,,,Cadaret and Yates 2018,author-year-only,Full bibliographic normalization pending.
PP0031,ay:carpenter:2016::,Carpenter,2016,,,,Carpenter 2016,author-year-only,Full bibliographic normalization pending.
PP0032,ay:carpenter:2018::,Carpenter,2018,,,,Carpenter 2018,author-year-only,Full bibliographic normalization pending.
PP0033,ay:ceciliofernandes:2018::,Cecilio-Fernandes,2018,,,,Cecilio-Fernandes 2018,author-year-only,Full bibliographic normalization pending.
PP0034,ay:dobson:2015:a:,Dobson,2015,a,,,Dobson and Linderholm 2015a,author-year-only,Full bibliographic normalization pending.
PP0035,ay:dobson:2015:b:,Dobson,2015,b,,,Dobson and Linderholm 2015b,author-year-only,Full bibliographic normalization pending.
PP0036,ay:dobson:2018::,Dobson,2018,,,,Dobson 2018,author-year-only,Full bibliographic normalization pending.
PP0037,ay:dobson:2011::,Dobson,2011,,,,Dobson 2011,author-year-only,Full bibliographic normalization pending.
PP0038,ay:dobson:2012::,Dobson,2012,,,,Dobson 2012,author-year-only,Full bibliographic normalization pending.
PP0039,ay:dobson:2013::,Dobson,2013,,,,Dobson 2013,author-year-only,Full bibliographic normalization pending.
PP0040,ay:dobson:2019::,Dobson,2019,,,,Dobson 2019,author-year-only,Full bibliographic normalization pending.
PP0041,ay:dobson:2015::,Dobson,2015,,,,Dobson 2015,author-year-only,Full bibliographic normalization pending.
PP0042,ay:dobson:2017::,Dobson,2017,,,,Dobson 2017,author-year-only,Full bibliographic normalization pending.
PP0043,ay:ernst:2014::,Ernst,2014,,,,Ernst 2014,author-year-only,Full bibliographic normalization pending.
PP0044,ay:fendos:2020::,Fendos,2020,,,,Fendos 2020,author-year-only,Full bibliographic normalization pending.
PP0045,ay:francis:2020::,Francis,2020,,,,Francis 2020,author-year-only,Full bibliographic normalization pending.
PP0046,ay:glass:2013::,Glass,2013,,,,Glass 2013,author-year-only,Full bibliographic normalization pending.
PP0047,ay:gopalan:2020::,Gopalan,2020,,,,Gopalan 2020,author-year-only,Full bibliographic normalization pending.
PP0048,ay:gurung:2019::,Gurung,2019,,,,Gurung and Burns 2019,author-year-only,Full bibliographic normalization pending.
PP0049,ay:hernick:2015::,Hernick,2015,,,,Hernick 2015,author-year-only,Full bibliographic normalization pending.
PP0050,ay:higham:2022::,Higham,2022,,,,Higham 2022,author-year-only,Full bibliographic normalization pending.
PP0051,ay:iwamoto:2017::,Iwamoto,2017,,,,Iwamoto 2017,author-year-only,Full bibliographic normalization pending.
PP0052,ay:janes:2020::,Janes,2020,,,,Janes 2020,author-year-only,Full bibliographic normalization pending.
PP0053,ay:kerdijk:2015::,Kerdijk,2015,,,,Kerdijk 2015,author-year-only,Full bibliographic normalization pending.
PP0054,ay:keus:2019::,Keus,2019,,,,Keus 2019,author-year-only,Full bibliographic normalization pending.
PP0055,ay:ladisa:2017::,LaDisa,2017,,,,LaDisa and Biesboer 2017,author-year-only,Full bibliographic normalization pending.
PP0056,ay:lawson:2022::,Lawson,2022,,,,Lawson 2022,author-year-only,Full bibliographic normalization pending.
PP0057,ay:linderholm:2016::,Linderholm,2016,,,,Linderholm 2016,author-year-only,Full bibliographic normalization pending.
PP0058,ay:logan:1975::,Logan,1975,,,,Logan 1975,author-year-only,Full bibliographic normalization pending.
PP0059,ay:messineo:2015::,Messineo,2015,,,,Messineo 2015,author-year-only,Full bibliographic normalization pending.
PP0060,ay:miller:2022::,Miller,2022,,,,Miller and Srimaneerungroj 2022,author-year-only,Full bibliographic normalization pending.
PP0061,ay:moore:2012::,Moore,2012,,,,Moore and Chalk 2012,author-year-only,Full bibliographic normalization pending.
PP0062,ay:nevid:2016::,Nevid,2016,,,,Nevid 2016,author-year-only,Full bibliographic normalization pending.
PP0063,ay:oermann:2022:a:,Oermann,2022,a,,,Oermann 2022a,author-year-only,Full bibliographic normalization pending.
PP0064,ay:oermann:2022:b:,Oermann,2022,b,,,Oermann 2022b,author-year-only,Full bibliographic normalization pending.
PP0065,ay:opre:2022::,Opre,2022,,,,Opre 2022,author-year-only,Full bibliographic normalization pending.
PP0066,ay:osterhage:2019::,Osterhage,2019,,,,Osterhage 2019,author-year-only,Full bibliographic normalization pending.
PP0067,ay:palmen:2015::,Palmen,2015,,,,Palmen 2015,author-year-only,Full bibliographic normalization pending.
PP0068,ay:palmer:2019::,Palmer,2019,,,,Palmer 2019,author-year-only,Full bibliographic normalization pending.
PP0069,ay:poorthuis:2021::,Poorthuis,2021,,,,Poorthuis and van Dijk 2021,author-year-only,Full bibliographic normalization pending.
PP0070,ay:schmidmaier:2011::,Schmidmaier,2011,,,,Schmidmaier 2011,author-year-only,Full bibliographic normalization pending.
PP0071,ay:schneider:2019::,Schneider,2019,,,,Schneider 2019,author-year-only,Full bibliographic normalization pending.
PP0072,ay:sennhennkirchner:2018::,Sennhenn-Kirchner,2018,,,,Sennhenn-Kirchner 2018,author-year-only,Full bibliographic normalization pending.
PP0073,ay:shobe:2022::,Shobe,2022,,,,Shobe 2022,author-year-only,Full bibliographic normalization pending.
PP0074,ay:terenyi:2018::,Terenyi,2018,,,,Terenyi 2018,author-year-only,Full bibliographic normalization pending.
PP0075,ay:terenyi:2019::,Terenyi,2019,,,,Terenyi 2019,author-year-only,Full bibliographic normalization pending.
PP0076,ay:timmer:2020::,Timmer,2020,,,,Timmer 2020,author-year-only,Full bibliographic normalization pending.
PP0077,ay:trumbo:2016::,Trumbo,2016,,,,Trumbo 2016,author-year-only,Full bibliographic normalization pending.
PP0078,ay:wong:2022::,Wong,2022,,,,Wong 2022,author-year-only,Full bibliographic normalization pending.
PP0079,doi:10.1007/s40037-015-0220-x,Deng,2015,,,10.1007/s40037-015-0220-x,Deng 2015,exact-doi-or-full-citation,
PP0080,doi:10.1111/tct.13798,Magro,2024,,,10.1111/tct.13798,Magro 2024,exact-doi-or-full-citation,
PP0081,doi:10.1177/23821205231173289,Wothe,2023,,,10.1177/23821205231173289,Wothe 2023,exact-doi-or-full-citation,
PP0082,doi:10.1007/s40670-025-02504-7,Haughey,2025,,,10.1007/s40670-025-02504-7,Haughey 2025,exact-doi-or-full-citation,
PP0083,doi:10.1186/s12909-024-05479-y,Durrani,2024,,,10.1186/s12909-024-05479-y,Durrani 2024,exact-doi-or-full-citation,
PP0084,doi:10.1007/s40670-021-01286-y,Sun,2021,,,10.1007/s40670-021-01286-y,Sun 2021,exact-doi-or-full-citation,
PP0085,doi:10.1177/23821205251369705,Winter,2025,,,10.1177/23821205251369705,Winter 2025,exact-doi-or-full-citation,
PP0086,doi:10.1177/23821205231205389,Levy,2023,,,10.1177/23821205231205389,Levy 2023,exact-doi-or-full-citation,
PP0087,doi:10.1007/s40670-023-01839-3,Mehta,2023,,,10.1007/s40670-023-01839-3,Mehta 2023,exact-doi-or-full-citation,
PP0088,doi:10.1007/s40670-023-01826-8,Gilbert,2023,,,10.1007/s40670-023-01826-8,Gilbert 2023,exact-doi-or-full-citation,
PP0089,doi:10.1007/s40670-021-01386-9,Lu,2021,,,10.1007/s40670-021-01386-9,Lu 2021,exact-doi-or-full-citation,
PP0090,ay:baghdady:2014::,Baghdady,2014,,,,Baghdady 2014,full-table-row,
PP0091,ay:kleiman:2017::,Kleiman,2017,,,,Kleiman 2017,full-table-row,
PP0092,ay:kleiman:2019::,Kleiman,2019,,,,Kleiman 2019,full-table-row,
PP0093,ay:potter:2019::,Potter,2019,,,,Potter 2019,full-table-row,
PP0094,ay:choe:2022::,Choe,2022,,,,Choe 2022,full-table-row,
PP0095,ay:tshibwabwa:2017::,Tshibwabwa,2017,,,,Tshibwabwa 2017,full-table-row,
PP0096,ay:rozenshtein:2016::effectofmassedversusinterleavedteachingmethodonperformanceofstudentsinradiology,Rozenshtein,2016,,Effect of massed versus interleaved teaching method on performance of students in radiology,,Rozenshtein 2016,full-table-row,
PP0097,ay:shah:2016::onlineselfstudyofchestxraysshowsnodifferencebetweenblockedandmixedpractice,Shah,2016,,Online self-study of chest X-rays shows no difference between blocked and mixed practice,,Shah 2016,full-table-row,
PP0098,doi:10.1007/s40670-021-01320-z,Tsai,2021,,,10.1007/s40670-021-01320-z,Tsai 2021,exact-doi-or-full-citation,
PP0099,doi:10.1007/s40670-019-00772-8,Brateanu,2019,,,10.1007/s40670-019-00772-8,Brateanu 2019,exact-doi-or-full-citation,
PP0100,doi:10.1152/advan.00138.2023,Santos-Ferreira,2024,,,10.1152/advan.00138.2023,Santos-Ferreira 2024,exact-doi-or-full-citation,
PP0101,doi:10.1111/j.1365-2929.2006.02644.x,Kerfoot,2007,a,,10.1111/j.1365-2929.2006.02644.x,Kerfoot 2007a,exact-doi-or-full-citation,
PP0102,doi:10.1097/sla.0b013e31819f6db8,Kerfoot,2009,,,10.1097/SLA.0b013e31819f6db8,Kerfoot 2009,exact-doi-or-full-citation,
PP0103,doi:10.1016/j.jamcollsurg.2010.04.023,Kerfoot,2010,a,,10.1016/j.jamcollsurg.2010.04.023,Kerfoot 2010a,exact-doi-or-full-citation,
PP0104,doi:10.1016/j.amepre.2010.07.016,Kerfoot,2010,b,,10.1016/j.amepre.2010.07.016,Kerfoot 2010b,exact-doi-or-full-citation,
PP0105,doi:10.1111/tct.13626,Cunningham,2023,,,10.1111/tct.13626,Cunningham 2023,exact-doi-or-full-citation,
PP0106,doi:10.1111/j.1365-2923.2009.03518.x,Larsen,2009,,,10.1111/j.1365-2923.2009.03518.x,Larsen 2009,exact-doi-or-full-citation,
PP0107,doi:10.1097/acm.0000000000005856,Price,2025,,,10.1097/ACM.0000000000005856,Price 2025,exact-doi-or-full-citation,
PP0108,doi:10.24093/awej/call6.22,Abdullah Al-Malki,2020,,Quizlet: an online application to enhance EFL foundation students vocabulary acquisition,10.24093/awej/call6.22,Abdullah Al-Malki 2020,exact-doi-or-full-citation,
PP0109,ay:aprilani:2021::studentsperceptioninlearningenglishvocabularythroughquizlet,Aprilani,2021,,Students perception in learning English vocabulary through Quizlet,,Aprilani 2021,table-author-year,
PP0110,ay:atalan:2023::theimpactofquizletonteachingpronunciationto9thgradeeflstudents,Atalan,2023,,The impact of Quizlet on teaching pronunciation to 9th grade EFL students,,Atalan 2023,table-author-year,
PP0111,doi:10.3389/fpsyg.2023.1112429,Boroughani,2023,,Mobile-assisted academic vocabulary learning with digital flashcards,10.3389/fpsyg.2023.1112429,Boroughani 2023,exact-doi-or-full-citation,
PP0112,doi:10.1080/09588221.2020.1802601,Bueno-Alastuey,2022,,Quizlet and podcasts: effects on vocabulary acquisition,10.1080/09588221.2020.1802601,Bueno-Alastuey 2022,exact-doi-or-full-citation,
PP0113,doi:10.3390/su13147919,Chen,2021,,Towards the sustainable development of digital educational games for primary school students in China,10.3390/su13147919,Chen 2021,exact-doi-or-full-citation,
PP0114,ay:hsu:2023::,Hsu,2023,,,,Hsu 2023,table-author-year,
PP0115,doi:10.33541/jet.v7i3.3027,Ipek,2021,,Applications used in distance education for English language classrooms,10.33541/jet.v7i3.3027,Ipek 2021,exact-doi-or-full-citation,
PP0116,ay:jiang:2022::,Jiang,2022,,,,Jiang 2022,table-author-year,
PP0117,ay:jiang:2021:a:,Jiang,2021,a,,,Jiang 2021a,table-author-year,
PP0118,ay:kurbakova:2020::,Kurbakova,2020,,,,Kurbakova 2020,table-author-year,
PP0119,ay:liu:2022::,Liu,2022,,,,Liu 2022,table-author-year,
PP0120,ay:luan:2023::perceptionsofuniversitystudentsonusingquizletinselfstudy,Luan,2023,,Perceptions of university students on using Quizlet in self-study,,Luan 2023,table-author-year,
PP0121,ay:muqaibal:2022::,Muqaibal,2022,,,,Muqaibal 2022,table-author-year,
PP0122,doi:10.37536/ej.2023.31.2123,Mykytka,2023,,The use of Quizlet to enhance L2 vocabulary acquisition,10.37536/ej.2023.31.2123,Mykytka 2023,exact-doi-or-full-citation,
PP0123,ay:nguyen:2023::enhancingl2learnerslexicalgainsviaquizletlearningtooltheroleofindividualdifferen,Nguyen,2023,,Enhancing L2 learners lexical gains via Quizlet learning tool: the role of individual differences,,Nguyen 2023,table-author-year,
PP0124,ay:panfilova:2022::,Panfilova,2022,,,,Panfilova 2022,table-author-year,
PP0125,ay:pham:2022::universitystudentsperceptionsontheuseofquizletinlearningvocabulary,Pham,2022,,University students perceptions on the use of Quizlet in learning vocabulary,,Pham 2022,table-author-year,
PP0126,doi:10.30935/cedtech/13094,Pratiwi,2023,,Autonomous learning and the use of digital technologies in online English classrooms,10.30935/cedtech/13094,Pratiwi 2023,exact-doi-or-full-citation,
PP0127,ay:saienko:2020::,Saienko,2020,,,,Saienko 2020,table-author-year,
PP0128,doi:10.26634/jelt.10.4.17229,Toy,2020,,EFL teachers perceptions about the effect of Quizlet on vocabulary teaching,10.26634/jelt.10.4.17229,Toy 2020,exact-doi-or-full-citation,
PP0129,ay:ulla:2020::,Ulla,2020,,,,Ulla 2020,table-author-year,
PP0130,ay:barenberg:2019::,Barenberg,2019,,,,Barenberg 2019,author-year-table,
PP0131,ay:bouwmeester:2011::,Bouwmeester,2011,,,,Bouwmeester 2011,author-year-table,
PP0132,ay:cassidy:1995::,Cassidy,1995,,,,Cassidy 1995,author-year-table,
PP0133,ay:goossens:2014:a:,Goossens,2014,a,,,Goossens 2014a,author-year-table,
PP0134,ay:goossens:2014:b:,Goossens,2014,b,,,Goossens 2014b,author-year-table,
PP0135,ay:goossens:2016::,Goossens,2016,,,,Goossens 2016,author-year-table,
PP0136,ay:hanham:2017::,Hanham,2017,,,,Hanham 2017,author-year-table,
PP0137,ay:jaeger:2015::,Jaeger,2015,,,,Jaeger 2015,author-year-table,
PP0138,ay:karpicke:2014::,Karpicke,2014,,,,Karpicke 2014,author-year-table,
PP0139,ay:karpicke:2016::,Karpicke,2016,,,,Karpicke 2016,author-year-table,
PP0140,ay:kliegl:2018::,Kliegl,2018,,,,Kliegl 2018,author-year-table,
PP0141,ay:lima:2020::,Lima,2020,,,,Lima 2020,author-year-table,
PP0142,ay:lipkospeed:2014::,Lipko-Speed,2014,,,,Lipko-Speed 2014,author-year-table,
PP0143,ay:lipowski:2014::,Lipowski,2014,,,,Lipowski 2014,author-year-table,
PP0144,ay:marsh:2012::,Marsh,2012,,,,Marsh 2012,author-year-table,
PP0145,ay:mcdermott:2014::,McDermott,2014,,,,McDermott 2014,author-year-table,
PP0146,ay:moreira:2019::,Moreira,2019,,,,Moreira 2019,author-year-table,
PP0147,ay:ortegatudela:2021::,Ortega-Tudela,2021,,,,Ortega-Tudela 2021,author-year-table,
PP0148,ay:roediger:2011::,Roediger,2011,,,,Roediger 2011,author-year-table,
PP0149,ay:rohrer:2010::,Rohrer,2010,,,,Rohrer 2010,author-year-table,
PP0150,ay:swanson:1983::,Swanson,1983,,,,Swanson 1983,author-year-table,
PP0151,ay:wiklundhornqvist:2022::,Wiklund-Hornqvist,2022,,,,Wiklund-Hornqvist 2022,author-year-table,
PP0152,ay:gluckman:2014::,Gluckman,2014,,,,Gluckman 2014,author-year-table,
PP0153,ay:goossens:2012::,Goossens,2012,,,,Goossens 2012,author-year-table,
PP0154,ay:price:2006::,Price,2006,,,,Price 2006,author-year-table,
PP0155,ay:rea:1987::,Rea,1987,,,,Rea 1987,author-year-table,
PP0156,ay:rogers:2021::,Rogers,2021,,,,Rogers 2021,author-year-table,
PP0157,ay:samudra:2019::,Samudra,2019,,,,Samudra 2019,author-year-table,
PP0158,ay:seabrook:2005::,Seabrook,2005,,,,Seabrook 2005,author-year-table,
PP0159,ay:slone:2017::,Slone,2017,,,,Slone 2017,author-year-table,
PP0160,ay:sobel:2011::,Sobel,2011,,,,Sobel 2011,author-year-table,
PP0161,ay:toppino:1984::,Toppino,1984,,,,Toppino 1984,author-year-table,
PP0162,ay:toppino:1991::,Toppino,1991,,,,Toppino 1991,author-year-table,
PP0163,ay:toppino:2009::,Toppino,2009,,,,Toppino 2009,author-year-table,
PP0164,ay:vlach:2008::,Vlach,2008,,,,Vlach 2008,author-year-table,
PP0165,ay:vlach:2012::,Vlach,2012,,,,Vlach 2012,author-year-table,
PP0166,ay:vlach:2019::,Vlach,2019,,,,Vlach 2019,author-year-table,
PP0167,ay:zigterman:2015::,Zigterman,2015,,,,Zigterman 2015,author-year-table,
