id,area,current_aralearn,proposal,status,rationale,open_question
AP14,tentativas,"Não armazenadas por padrão","Representar somente quando configuração/protocolo autorizar",preservar,"Evita inferência indevida","Como informar coleta ao participante?"
AP15,comentários,"Uma observação situada por card","Generalizar Annotation targets e lifecycle",reformular,"Suporta revisão humana e GPT","Múltiplas observações por alvo?"
AP16,central,"Resumo de workspaces, trilhas, comentários e device","Redesenhar para responder versões, operações e storage",reformular,"Backend atual excede visibilidade","Quais perguntas por perfil?"
AP17,trilhas,"Organização pessoal, curso em uma trilha","Preservar linguagem; revisar cardinalidade/pastas/views",reformular,"Útil e simples","Pastas múltiplas ou uma trilha?"
AP18,coleções,"Catálogo oficial organizado editorialmente","Manter como capability de publicação, não kernel",adiar,"Não é necessária ao primeiro perfil pessoal","Entra no produto-base?"
AP19,workspace,"Autoria relacional com papéis locais","Preservar finalidade e adotar unit/composition revisions",reformular,"É base da autoria colaborativa","Workspace local sem conta?"
AP20,publicação,"Artefato JSON imutável por hash","Preservar e estender a unit/composition/package snapshots",preservar,"Boa fronteira entre mutável e publicado","Snapshot incorpora ou referencia units?"
AP21,MCP,"Gateway OAuth, ferramentas fechadas e CAS","Preservar gateway; tornar operations visíveis no ARA",reformular,"Evita acesso direto e sustenta human-in-loop","MCP é único protocolo de agente?"
AP22,Action-GPT,"Fachada para mesmo executor MCP","Manter como adapter opcional",alternativa-a-comparar,"Superfícies convergem sem duplicar domínio","Ainda necessária quando Plugin está disponível?"
AP23,assistência-local,"Preview, aplicação atômica, undo e fila curta","Preservar experiência; decompor operation/context/provider",separar,"Valor alto mas UI/orchestrator concentrados","Qual escopo offline de requests?"
AP24,providers,"DeepSeek, Gemini, custom e Codex local","Provider packages conectados e capability discovery",separar,"Evita crescer UI/kernel","Chaves locais ou gateway?"
AP25,Supabase,"Auth/Postgres/RLS/RPC/Edge/Storage","Manter como adapter candidato; provar portabilidade",reformular,"Conhecimento atual é valioso, lock-in não","Qual segundo adapter?"
AP26,GitHub-Pages,"Host estático validado","Preservar artifact estático provider-neutral",preservar,"Baixo custo e transparência","Limites para callbacks/config?"
AP27,Android,"Mesma app JavaScript em APK","Comparar PWA/TWA/Capacitor",alternativa-a-comparar,"Uma codebase é desejável","Há necessidade nativa real?"
AP28,dependências,"dependsOn DAG na mesma lição + tags livres","Grafo tipado entre revisions/concepts/courses",reformular,"Necessário a reuse e contexto GPT","Qual vocabulário mínimo?"
AP29,fontes,"source IDs aprovados e card.sources","Preservar; acrescentar anchors, licença e provenance",reformular,"Fundamenta auditoria e OER","Âncora em que granularidade?"
AP30,testes,"Contrato, resources, UI, sync, Supabase, MCP e E2E","Extrair fixtures/invariantes como patrimônio migrável",preservar,"Evita reabrir erros resolvidos","Quais testes são stack-neutral?"
AP31,CSS-UI,"Tokens e auditoria, ainda arquivos/orquestradores grandes","Component styles e estados por package",separar,"Modularidade física precisa acompanhar semântica","Shadow DOM, CSS layers ou build scopes?"
AP32,conta,"Aplicação abre após autenticação","Comparar perfil local sem conta e associação posterior",questao-aberta,"Reduz atrito e dependência remota","Quais funções exigem identidade?"
AP33,analytics,"Estado mínimo; pesquisa futura bloqueada por protocolo","Preservar separação e adicionar framework autorizado",preservar,"Evita vigilância","Que analytics pessoais são úteis?"
AP34,catálogo-editorial,"Submissão, revisão e publicação oficial","Capability posterior e separada de autoria pessoal",adiar,"Evita transformar ARA em LMS geral","Necessário para pesquisa inicial?"
AP35,import-export,"JSON v4 integral","Evoluir para packages, manifests e exports por escopo",reformular,"Portabilidade é requisito","Formato zip, diretório ou content-addressed?"
