source_id,reference,evidence_type,scope,key_finding,critical_limit,p1_implication,access_status
P1E11,"Butler, Karpicke and Roediger (2007), The Effect of Type and Timing of Feedback on Learning from Multiple-Choice Tests, DOI 10.1037/1076-898X.13.4.273",controlled experiments,"standard correct-answer versus answer-until-correct; immediate versus delayed","Corrective feedback supported delayed cued recall; type and timing interacted with test learning.","Laboratory prose tasks and multiple-choice focus.","Reveal and retry sequence must be represented rather than collapsed into attempt count.",PubMed and ERIC metadata verified
P1E12,"Butler, Karpicke and Roediger (2008), Correcting a Metacognitive Error, DOI 10.1037/0278-7393.34.4.918",controlled experiments,"feedback after multiple-choice responses with confidence judgements","Feedback corrected errors and also improved retention of correct low-confidence responses.","General-knowledge laboratory tasks; confidence elicitation adds interaction cost.","Feedback can be useful after correct answers; confidence is a later candidate, not required in every practice.",free article abstract verified
P1E13,"Butler and Roediger (2008), Feedback Enhances Positive and Reduces Negative Effects of Multiple-Choice Testing, DOI 10.3758/MC.36.3.604",controlled experiments,"immediate, delayed or no feedback after multiple-choice tests","Immediate and delayed feedback improved correct retention and reduced later intrusion of distractors.","Laboratory passages and cued recall; not a full classroom synthesis.","Selected-response practice should support corrective feedback and avoid preserving distractor exposure without correction.",PubMed abstract verified
P1E14,"Kang, McDermott and Roediger (2007), Test Format and Corrective Feedback Modify Long-Term Retention, DOI 10.1080/09541440601056620",controlled experiments,"multiple-choice, short-answer, reading and corrective feedback","Test format and corrective feedback jointly affected long-term retention.","Short controlled texts and delayed test; no institutional consequence model.","Response format and feedback are interacting but independent parameters.",publisher abstract verified
P1E15,"Sotola and Crede (2021), Regarding Class Quizzes, DOI 10.1007/s10648-020-09563-9",meta-analysis,"52 classroom samples; 7,864 students","Frequent low-stakes quizzes were moderately associated with performance; effects were larger when quiz scores contributed to grades.","Many studies were associational; grade contribution may change participation and effort rather than learning mechanism alone.","Consequence and grade contribution must be explicit and separate from practice; grade contribution is allowed but not the self-directed default.",ERIC and publisher metadata verified
P1E16,"Phelps (2019), Test Frequency, Stakes, and Feedback in Student Achievement, DOI 10.1177/0193841X19865628",multivariable meta-analysis,"149 studies; 509 effects; frequency, stakes and feedback","Combined testing, stakes and feedback were associated with achievement; moderators included response format, education level and design.","Corpus spans a century, mostly English-language and US studies; nonrandom designs sometimes produced larger effects.","Frequency, stakes and feedback cannot be represented by one assessment mode; institutional profiles require separate decisions.",publisher abstract verified
P1E17,"von der Embse et al. (2018), Test Anxiety Effects, Predictors, and Correlates, DOI 10.1016/j.jad.2017.11.048",meta-analysis,"238 studies across educational outcomes","Test anxiety was negatively related to performance; perceived difficulty and high-stakes consequences related to higher anxiety.","Predominantly correlational evidence; magnitude and populations vary.","High-stakes consequences require explicit profile, accessibility and risk treatment; no high-stakes default for personal practice.",PubMed abstract verified
P1E18,"Leria, Benitez and Fraga (2021), Assistive Technology in Large-Scale Assessments, DOI 10.1007/s10639-020-10419-6",systematic review,"28 studies; visual impairment and computer-based assessment","Computer-based assessment still presents major barriers; assistive technologies and construct-aware accommodations are necessary.","Large-scale assessment focus and visual impairment emphasis.","Response accommodations and assistive compatibility are structural requirements; accommodation must not be treated as cheating or ordinary preference.",Springer and ERIC metadata verified
P1E19,"CAST (2024), Universal Design for Learning Guidelines 3.0",official design framework,"learner variability; action and expression","Guidelines recommend varying and honoring response methods, accessible tools, graduated support and action-oriented feedback.","Design framework, not an effectiveness estimate or assessment-validity rule.","ARA must allow accessible response alternatives and graduated support while recording construct implications.",official CAST source verified
P1E20,"W3C WAI, WCAG 2.2 Input Assistance and Error Prevention",official accessibility standard guidance,"forms, input validation, errors and reversibility","Users need labels, accessible notifications, correction opportunities, confirmation and reversible submissions; time limits should be avoidable or extendable when nonessential.","General web interaction guidance, not a pedagogical parameter study.","Every response control and feedback state must be perceivable, correctable and assistive-technology compatible; time accommodation overrides ordinary defaults where required.",official W3C sources verified
P1E21,"Gao et al. (2023), Automatic Assessment of Text-Based Responses, DOI 10.48550/arXiv.2308.16151",systematic review,"93 studies; post-secondary open-text assessment","Automated assessment spans varied models and outputs, but validity, transparency and transfer remain uneven.","Preprint status in project corpus; technical accuracy does not establish educational authority or fairness.","Probabilistic scoring may assist but must not be authoritative by default; open response requires rubric, provenance and contestability.",open manuscript verified
P1E22,"AraLearn source and documentation at commit 9bff37e",implemented product evidence,"self-directed mobile/offline study","AraLearn uses low-consequence practice, deterministic gap/choice validation, answer reveal and structural completion while not recording attempts, correctness, errors or time.","One situated profile; current response mechanics are limited and exact attempt behavior is not a universal rule.","Preserve as reference profile: no grade or ranking, no attempt telemetry, structural progress and learner-controlled study.",source repository and canonical audit verified
