taxonomy_version,source_packages,rejection_id,rule,final_status
ara.configuration-taxonomy.v1,P4,collect-all-events,Reject collection of all technically possible events by default.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,universal-analytics-dashboard,Reject one dashboard and one visibility policy for all roles.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,pseudonymisation-equals-anonymisation,Reject treating pseudonymisation as anonymisation.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,indefinite-unspecified-retention,Reject indefinite identifiable-data retention for unspecified future use.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,external-standard-as-domain,"Reject treating Caliper, xAPI or another external standard as the complete ARA model.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,operational-logs-as-learning-data,Reject reuse of operational logs as educational analytics without purpose and authorization.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P4,opaque-punitive-prediction,Reject opaque predictions for punitive or high-consequence decisions.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,agent-self-approval-publication,"Reject one agent acting as author, auditor, approver and publisher without explicit independent authority.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,silent-context-access,Reject cross-workspace/course access inferred from chat memory.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,validation-equals-audit-effectiveness,Reject treating schema validation as pedagogical audit or audit as proof of effectiveness.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,audit-that-silently-repairs,Reject review processes that modify content while presenting themselves as independent audits.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,silent-mutation-or-propagation,Reject silent mutation of published/research-locked artifacts and automatic propagation to consumers.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,free-text-tags-only,"Reject free-text tags as the sole dependency, provenance or annotation mechanism.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,unreviewed-hard-delete,"Reject deletion of referenced or published content without impact, tombstone and retention review.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,package-license-hides-assets,Reject applying one package license while concealing incompatible or excluded third-party materials.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,universal-quality-score,"Reject one score that collapses accuracy, pedagogy, accessibility, licensing and policy.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,LLM-judge-replaces-expert,Reject LLM-as-judge as a substitute for qualified expert review in high-risk content.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,global-superadministrator,Reject one global administrator role for all workspaces and capabilities.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P5,technical-vocabulary-primary-UX,Reject database/storage concepts as the primary vocabulary for nontechnical users.,rejected-or-not-recommended
