source_id,reference,evidence_type,scope,key_finding,critical_limit,p2_implication,access_status
P2E11,"Martinengo et al. (2024), Spaced Digital Education for Health Professionals, DOI 10.2196/57760",systematic review and meta-analysis,23 randomized or quasi-randomized studies of online and simulation-based spacing,"Spaced digital education improved knowledge, some clinical behavior and surgical skills compared with massed or inactive controls.",Most studies had unclear/high risk of bias; domain concentration and intervention heterogeneity.,"Digital spacing is viable across knowledge and skill profiles, but modality, interval and outcome must be recorded separately.",open full text and PubMed verified
P2E12,"Kim & Webb (2022), The Effects of Spaced Practice on Second Language Learning, DOI 10.1111/lang.12479",meta-analysis,"48 experiments, 98 effects and 3,411 learners","Spacing had medium-to-large effects; longer gaps helped delayed tests more, while equal and expanding schedules were statistically equivalent.",Second-language learning and varied targets/practice types.,Equal versus expanding cannot be a universal default; target retention horizon and activity type must control schedule interpretation.,publisher full text verified
P2E13,"Carpenter, Pan & Butler (2022), The Science of Effective Learning with Spacing and Retrieval Practice, DOI 10.1038/s44159-022-00089-1",integrative review,"mechanisms, educational applications and metacognition across spacing and retrieval","Spacing and retrieval support lasting learning, but optimal implementation depends on retention goals, successful retrieval, feedback and learner judgments.",Narrative synthesis rather than one pooled intervention estimate.,"ARA should describe objective, interval, retrieval success and review burden rather than promise an optimal algorithm.",publisher article verified
P2E14,"Chen, Paas & Sweller (2021), Spacing and Interleaving Effects Require Distinct Theoretical Bases, DOI 10.1007/s10648-021-09613-w",systematic review,119 experimental studies after multi-database screening,"Spacing and interleaving are distinct: spacing separates study episodes, whereas interleaving supports discrimination among confusable categories.",The proposed mechanisms are theoretical interpretations and study designs often confound the strategies.,Use separate parameters for temporal distribution and category/order mixing.,open full text verified
P2E15,"Brunmair & Richter (2019), Similarity Matters, DOI 10.1037/bul0000209",multilevel meta-analysis,"59 studies, 238 effects and 158 samples","Interleaving showed a moderate overall benefit, strongest for discriminating similar categories; effects varied by material and blocking sometimes won for words.",Laboratory-heavy corpus and substantial domain moderation.,"Interleaving is an author/research policy for discriminative goals, not a universal sequence default.",PubMed abstract and supplemental data verified
P2E16,"Firth, Rivers & Boyle (2021), A Systematic Review of Interleaving as a Concept Learning Strategy, DOI 10.1002/rev3.3266",systematic review and meta-analysis,26 studies; 17 studies and 32 datasets in meta-analysis,"Interleaving benefited memory and transfer especially when category differences were subtle, including delayed tests.",Dominated by laboratory studies with university participants.,"ARA must record discrimination objective, category similarity, delay and classroom authenticity.",open publisher full text and ERIC verified
P2E17,"Rowlandson & Simpson (2025), Interleaving in Mathematical Category Learning, ERIC EJ1472022",two classroom experiments,Grade 7 learning of angle-relation categories,Two large classroom experiments repeatedly failed to detect an interleaving advantage over blocking for defined mathematical categories.,One topic and age group; does not refute all interleaving.,Domain evidence can override generic recommendations; interleaving remains optional and hypothesis-linked.,peer-reviewed ERIC record verified
P2E18,"Sweller & Cooper (1985), The Use of Worked Examples as a Substitute for Problem Solving in Learning Algebra, DOI 10.1207/s1532690xci0201_3",controlled experiments,initial algebra skill acquisition,Worked examples reduced inefficient novice search and improved early learning compared with conventional problem solving.,Structured algebra and novice learners.,"Examples are recommended for initial structured skills but require expertise, domain and transfer qualification.",bibliographic and project source verified
P2E19,"Schwonke et al. (2009), The Worked-Example Effect: Not an Artefact of Lousy Control Conditions, DOI 10.1016/j.chb.2008.12.011",controlled experiments,faded examples added to a cognitive tutor,Faded examples improved learning efficiency and conceptual understanding even against supported problem solving.,Specific tutor and mathematical/procedural setting.,Example availability and fading are legitimate dimensions but not universal requirements.,publisher abstract verified
P2E20,"Zeitlhofer & Zumbach (2026), Sequencing Problem Solving and Worked Examples, DOI 10.1016/j.ijer.2026.103039",controlled experiment,124 participants learning mathematical equations in four instructional sequences,Sequences containing problem solving outperformed worked-examples-only; mixed sequences did not yield a single dominant order.,Single domain and short intervention.,Worked examples must transition to active problem solving; example position should be configurable rather than fixed universally.,publisher abstract verified
P2E21,"Tetzlaff, Simonsmeier, Peters & Brod (2025), A Cornerstone of Adaptivity, DOI 10.1016/j.learninstruc.2025.102142",meta-analysis,expertise-reversal effects across instructional assistance contexts,Assistance benefits novices more reliably than it harms experts; effects vary by educational status and domain.,Adaptation requires valid expertise measures; evidence is less clear in some humanities/language contexts.,Support and fading depend on declared or assessed prerequisite state; assistance for novices has priority over aggressive removal for experts.,open article metadata and abstract verified
P2E22,"Belland et al. (2017), Synthesizing Computer-Based Scaffolding in STEM Education, DOI 10.3102/0034654316670999",meta-analysis,144 studies and 333 outcomes in problem-centered STEM learning,"Computer-based scaffolding had a positive average cognitive effect; benefits persisted across learner groups and assessment levels, while fading logic did not produce a clear universal moderator.",Heterogeneous supports and considerable between-study variation.,Scaffold type and availability are accepted; automatic fading is not assumed superior.,open full text verified
P2E23,"Kim, Belland & Walker (2018), Effectiveness of Computer-Based Scaffolding in PBL for STEM, DOI 10.1007/s10648-017-9419-1",Bayesian meta-analysis,computer scaffolds in STEM problem-based learning,Scaffolding produced a small-to-moderate positive cognitive effect after accounting for small-study uncertainty.,Problem-based STEM focus and broad scaffold categories.,"Scaffolding can support complex work, but type, purpose, authority and persistence must be explicit.",open full text and ERIC verified
P2E24,"Renkl, Atkinson & Große (2004), How Fading Worked Solution Steps Works, DOI 10.1023/B:TRUC.0000021815.74806.F6",controlled instructional study,stepwise transition from examples to independent problem solving,Completion problems and fading can bridge example study and independent solution when support removal follows task structure.,Structured tasks and designed fading sequences.,"Fading direction, trigger and granularity are parameters; removing essential problem information is prohibited.",project bibliography and journal metadata verified
P2E25,"Monk, Trafton & Boehm-Davis (2008), The Effect of Interruption Duration and Demand on Resuming Suspended Goals, DOI 10.1037/a0014402",three controlled experiments,resumption after interruptions in hierarchical interactive tasks,Longer and more demanding interruptions increased resumption time; goal rehearsal and context affected recovery.,"General task-performance research, not educational outcomes.","ARA needs explicit resume state and context cues, especially for fragmented mobile study.",PubMed and ERIC abstracts verified
P2E26,"Foroughi et al. (2016), Individual Differences in Working-Memory Capacity and Task Resumption, DOI 10.1037/xlm0000251",controlled experiment,"229 participants, three interruption durations and working-memory measurement","Longer interruptions increased resumption lag, especially for participants with lower working-memory capacity.",Procedural task and non-instructional outcome.,"Resume support is an accessibility and cognitive-load safeguard, not merely convenience.",PubMed and ERIC abstracts verified
P2E27,"Srivastava et al. (2021), Mitigating Reading Interruptions by Providing Reviews and Previews, arXiv 2104.06603",pilot experimental series,mobile reading with post-interruption reviews or previews,"Participants preferred reviews, while previews after interruption showed larger comprehension benefits in the pilots.","Preprint, pilot samples and reading-specific tasks.","Resumption support may offer prior-summary and next-step cues, but default wording needs later UX validation.",open preprint verified
P2E28,"Cepeda et al. (2008), Spacing Effects in Learning: A Temporal Ridgeline, DOI 10.1111/j.1467-9280.2008.02209.x",large experimental study,study-gap and retention-interval combinations,The effective spacing interval changed with the desired retention interval rather than following one fixed schedule.,Controlled verbal learning and limited translation to complex curricula.,Review target horizon is required; the product must not claim one ideal interval.,project bibliography and publisher metadata verified
