entity,family,definition,classification,invariant
AuthoringWorkspaceState,authoring,Mutable draft composition and operation state.,core,Only mutable precursor; publications immutable.
AuthoringOperation,authoring,Scoped idempotent requested mutation with actor/context/provenance.,core,Expected revision and target required.
Annotation,authoring,Situated comment/finding/request targeting stable identity/version/placement.,core,Reply is not resolution.
ReviewRecord,authoring,Versioned rubric/scope/reviewer/outcome/findings.,core,Audit does not mutate.
RepairRecord,authoring,Authorized scoped change linked to findings and new revision.,core,Re-audit required per policy.
ApprovalRecord,authoring,Human/institutional gate decision over a frozen version.,core,Agent cannot self-grant authority.
ProvenanceRecord,provenance,Entity/activity/agent/source/derivation lineage.,core,Minimum necessary; sensitive chats not retained by default.
StudyAssignment,study,Binds learner/library context to a course version/publication/configuration.,core,Defines contextual study identity.
StudyState,study,Functional state for one study assignment.,core,Data-minimal baseline.
PlacementState,study,Progress/resume/review state for a contextual placement.,core,Not stored solely on MicrosequenceRevision.
CardState,study,Local functional state for a card occurrence.,core,Telemetry beyond function requires authorization.
ReviewInstance,study,Contextual scheduled/marked revisit of a placement/card/derived item.,optional-core,Separate from authoring review.
ImportPackage,portability,Versioned portable bundle/manifests for ingest.,core,Validation/migration report required.
ExportPackage,portability,Versioned portable content/config/research/user-state package.,core,Scope/rights/provenance declared.
MigrationRecord,portability,Versioned transformation report from prior contract/data.,core,No silent compatibility layer.
SyncOperation,synchronization,Versioned/idempotent transfer/application of authorized changes.,optional-connected,Conflicts explicit; no semantic auto-merge.
SyncConflict,synchronization,Competing revision/operation requiring deterministic or human resolution.,optional-connected,Preserve both intentions where possible.
ResearchQuestion,research,Versioned purpose/question/decision-use definition.,optional-core,Imported from Issue #5.
Protocol,research,Versioned approved research plan and governance.,optional-core,Immutable after registration/approval.
Condition,research,Version-locked content/config/composition/capability/instrument state.,optional-core,Rights deviations recorded.
Participant,research,Research role with eligibility/identity/rights state.,optional-core,Distinct from ordinary learner account.
Assignment,research,Participant-to-condition allocation record.,optional-core,Method terminology must be truthful.
EventDefinition,research,Authorized versioned observable-event semantics.,optional-core,Availability does not authorize collection.
InstrumentDefinition,research,Versioned quantitative/qualitative instrument semantics.,optional-core,Language/accommodation/source/scoring explicit.
MeasureDefinition,research,Formula/unit/window/missingness/use definition.,optional-core,Not a construct by itself.
ConstructDefinition,research,Versioned theoretical/operational construct with validity scope.,optional-core,No raw proxy inference.
InterpretationRule,research,Allowed/prohibited claim under stated evidence/conditions.,optional-core,Does not auto-trigger intervention.
EvidenceRecord,research,Versioned event/instrument/artifact/qualitative evidence item.,optional-core,Access/purpose/provenance required.
ResearchPackage,research,Portable protocol/data dictionary/artifact/provenance/export package.,optional-core,Semantic version/conformance required.
