parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
missing_data.policy,analysis,Política de dados ausentes,"Regra para distinguir ausência, não aplicabilidade, falha técnica, retirada e não resposta.",accepted,absent,,explicit-categories|complete-case|imputation-candidate|model-based|qualitative-follow-up,dataset|analysis,researcher|protocol,rights > protocol > researcher,supported,Preservar motivos e não transformar ausência em zero ou desengajamento.,withdrawal.policy|analysis.plan,missing treated as failure by default,Missingness affects bias and uncertainty.,"Inaccessibility-caused missingness is a product failure signal, not learner deficit.",#5|#6|#8
instrument.type,instrument,Tipo de instrumento,Forma de evidência externa ou interna usada além dos eventos de interação.,accepted,absent,,test|delayed-test|questionnaire|scale|rubric|interview|focus-group|diary|observation|artifact-review|system-log,protocol|condition,researcher|institution|learner-personal,protocol > institution > learner,supported,Representar instrumentos e versões sem forçar tudo em eventos.,instrument.administration|provenance.snapshot,instrument changed without version,Instrument properties affect construct validity.,Accessible administration and alternatives must be specified.,#5|#6
instrument.administration,instrument,Administração do instrumento,"Quem, quando, como, em que idioma e sob quais condições administra o instrumento.",accepted,absent,,self-administered|researcher-administered|teacher-administered|system-administered|external,instrument|session,research-protocol|institution,accessibility > protocol > institution,supported,"Registrar timing, modo, idioma e acomodações.",instrument.type|protocol.version_lock,administration mode confounded with condition,Administration differences can confound outcomes.,Must meet accessibility and language requirements.,#5|#8
provenance.snapshot,provenance,Snapshot de proveniência,"Registro imutável das versões de conteúdo, configuração, instrumento, algoritmo e código analítico usados.",accepted,absent,,hash-manifest|persistent-id|signed-release|repository-commit|external-record,course-version|condition|dataset|analysis,product|researcher|institution,protocol > product/institution,supported,"Exigir snapshot para comparação, auditoria e reprodução.",protocol.version_lock|event.semantic_profile,mutable reference without resolution,Provenance enables reproducibility and incident analysis.,Snapshot must include accessibility-relevant versions without exposing sensitive user data.,#5|#6|#7
variant.diff_policy,provenance,Política de diff entre variantes,"Como diferenças de conteúdo, configuração, composição e capacidades são classificadas e apresentadas.",accepted,absent,,content|configuration|composition|capability|instrument|mixed-with-justification,course-version|condition,researcher|author|reviewer,protocol > author,design-hypothesis,Separar diferenças intencionais de diferenças acidentais e exigir auditoria.,provenance.snapshot|condition.definition,paired courses with uncontrolled differences,Variant diffs are needed for treatment integrity.,Diff presentation must be perceivable and not color-only.,#5|#6|#8
fidelity.monitoring,protocol,Monitoramento de fidelidade,Evidência de que a condição planejada foi entregue e recebida como previsto.,accepted,absent,,none|manual-audit|automated-conformance|sampled-review|participant-report|mixed,condition|study,researcher|reviewer|system,protocol > researcher,supported,"Separar fidelidade técnica, pedagógica e de participação.",condition.definition|event.authorization,using outcome as fidelity proxy,Fidelity affects treatment interpretation.,Accessibility failures are fidelity failures.,#5|#6|#7
data.purpose_binding,data-governance,Vinculação à finalidade,"Relação explícita entre cada dado, finalidade, base legal, acesso, retenção e uso.",accepted,absent,,one-purpose|compatible-secondary|new-consent-required|prohibited-secondary,data-category|protocol,institution|researcher|participant,law > rights > consent > protocol,supported,Manter matriz de finalidade; impedir reutilização silenciosa.,protocol.purpose|consent.status,data lake for unknown future use,Secondary use requires compatibility review.,Sensitive accommodation data require narrow purposes.,#5|#6|#7
data.retention,data-governance,Retenção,"Prazo e evento de descarte para dados identificáveis, pseudônimos, agregados e artefatos.",accepted,implicit-value,current-functional-state-only,session|course|protocol-defined|legal-minimum|until-withdrawal|archive-anonymized,data-category|dataset,institution|researcher|learner-personal,law > rights > consent > protocol,supported,"Prazo por categoria e finalidade, com descarte verificável.",participant.identity_mode|withdrawal.policy,indefinite retention by default,Retention affects reproducibility and risk.,Accommodation records may need separate retention.,#5|#6|#7
data.access_policy,data-governance,Política de acesso,"Papéis, granularidade e justificativa para visualizar, exportar ou administrar dados.",accepted,implicit-value,self-only|situated-workspace-review,learner-self|researcher-deidentified|teacher-aggregate|reviewer-audit|administrator-operational|external-controlled,dataset|view|export,participant|institution|research-protocol,rights > consent > protocol > institution,supported,"Separar analytics pessoais, pedagógicos, de pesquisa e operacionais.",participant.identity_mode|export.policy,role can access all because technically possible,Visibility changes ethical and statistical risks.,Sensitive accessibility data require least privilege.,#5|#6|#8
export.policy,data-governance,Política de exportação,"Formatos, escopo, desidentificação, proveniência e autorização para exportar dados e resultados.",accepted,absent,,none|personal-export|deidentified-research|aggregate-report|controlled-linkage|repository-publication,dataset|report,participant|researcher|institution,law > rights > consent > protocol,supported,Exportar apenas escopo autorizado com dicionário e proveniência.,data.access_policy|provenance.snapshot,raw identifiable export by convenience,Exports need semantic and version metadata.,Export format and documentation must be accessible.,#5|#6|#7
personal_analytics.mode,analytics,Analytics pessoais,Informações que a própria pessoa pode habilitar para apoiar estudo sem exposição automática a terceiros.,accepted,absent,,off|functional-only|descriptive|goal-tracking|review-load|reflection-support,learner,learner,rights > learner > product default,mixed,"Opt-in, local-first quando possível, explicável e não punitivo.",event.authorization|interpretation.rule,personal analytics silently shared,Personal views must state limitations.,Views must be accessible and avoid coercive nudging.,#5|#6|#8
role_dashboard.question,analytics,Pergunta do painel por papel,"Pergunta concreta que organiza uma visão para estudante, professor, tutor, pesquisador ou administrador.",accepted,absent,,resume|review-load|coverage|dependency-gap|variant-diff|fidelity|consent-status|data-quality|operations,view|role,learner|teacher|researcher|administrator,rights > role authority,design-hypothesis,"Painéis devem responder perguntas, não despejar eventos.",data.access_policy|interpretation.rule,one universal dashboard,Role questions constrain aggregation and interpretation.,Plain-language and accessible presentation required.,#5|#8
analytics.explanation,analytics,Explicação de analytics,"Informação sobre fonte, fórmula, janela, limitações e ações possíveis apresentada ao usuário.",accepted,absent,,summary|expandable-method|full-audit|participant-facing|researcher-facing,view|measure,product|researcher|institution,rights/transparency > role,supported,Toda visualização deve explicar o que significa e não significa.,measure.definition|interpretation.rule,score without method or caveat,Explanation is part of responsible use.,"Must be understandable, localized and accessible.",#5|#8
alert.intervention_policy,analytics,Política de alerta e intervenção,"Condições, autoridade, revisão humana, ação e registro para alertas derivados de analytics.",accepted,absent,,none|self-notification|human-review-before-action|protocol-defined|safety-only,learner|course|institution,learner|teacher|researcher|institution,rights > consent > protocol > institution,mixed,"Não adotar early warning automático; exigir validade, revisão humana e ação proporcional.",construct.definition|interpretation.rule,punitive action from opaque prediction,Interventions need outcome and harm evaluation.,Alerts must not discriminate or expose disability status.,#5|#6|#8
cross_deployment.equivalence,interoperability,Equivalência entre implantações,"Requisitos para que condições, eventos, medidas e exports mantenham significado entre managed, self-hosted e offline.",accepted,absent,,semantic-only|semantic-and-timing|full-protocol-conformance|non-equivalent-explicit,deployment|protocol,product|researcher|institution,protocol > deployment,operational-choice,"Exigir versões, conformance e diferenças explícitas; não presumir equivalência.",event.semantic_profile|provenance.snapshot,same field name assumed equivalent,Deployment differences can invalidate pooled analysis.,Accessibility capabilities must be part of equivalence checks.,#5|#7
operational.telemetry_separation,interoperability,Separação de telemetria operacional,Fronteira entre logs de saúde/performance e dados educacionais ou de pesquisa.,accepted,absent,,strict-separation|controlled-linkage|protocol-authorized-overlap,deployment|event-type,operator|research-protocol,rights > protocol > operator,supported,Logs operacionais não entram em analytics educacionais por conveniência.,event.authorization|data.purpose_binding,using errors/latency as learner traits,Operational data has different purpose and unit.,Assistive-technology errors may reveal sensitive context.,#5|#7
