parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,evidence_status,recommendation,downstream_handoff
srl.self_evaluation_support,self-regulation,Autoavaliação,"Como a pessoa compara seu trabalho a objetivo, critérios, exemplo ou rubrica.",accepted,absent,,none|private-reflection|criterion-check|confidence-optional|rubric-self-review|compare-after-attempt|human-dialogue,card|microsequence|course|condition|learner,learner|author|research-protocol,mixed,Aceitar autoavaliação opcional e criterial; não converter confiança ou autopercepção em mastery.,#5|#6|#8
adaptation.mode,adaptation,Modo de adaptação,"Natureza da variação aplicada ao conteúdo, sequência, apoio ou interface.",accepted,absent,,none|static-profile|rule-based|human-adjusted|learner-adjusted|AI-recommended|AI-applied-candidate|protocol-condition,platform|course|condition|learner|session,learner|author|institution|research-protocol|adaptive-rule|AI-assistant,mixed,"Primeira taxonomia aceita modos; primeira implementação deve privilegiar perfil estático, escolha humana e recomendação sem aplicação silenciosa.",#5|#6|#7|#8
adaptation.target,adaptation,Alvo da adaptação,"Elemento que pode variar em resposta a regra, escolha ou recomendação.",accepted,absent,,none|representation|language|difficulty|sequence|practice-form|feedback|scaffolding|review|pace|AI-assistance|content-materialization,resource|card|microsequence|course|condition|learner,author|learner|institution|research-protocol|adaptive-rule,mixed,"Exigir alvo explícito e distinguir adaptação de conteúdo, configuração, interface e acomodação.",#5|#6|#7|#8
adaptation.trigger,adaptation,Gatilho de adaptação,Evento ou decisão que inicia uma recomendação ou mudança.,accepted,absent,,none|learner-request|author-action|tutor-action|protocol-step|criterion-result|explicit-preference|accessibility-rule|validated-model-candidate,card|microsequence|course|condition|learner,learner|author|tutor|research-protocol|accessibility-rule|adaptive-rule,mixed,Usar gatilhos explícitos; adiar sinais comportamentais inferidos e modelos opacos.,#5|#6|#7
adaptation.evidence_basis,adaptation,Base de evidência da adaptação,Informação legítima usada para justificar recomendação ou mudança.,accepted,absent,,none|declared-preference|accessibility-accommodation|valid-response|criterion-result|human-judgement|protocol-assignment|validated-assessment|validated-model-candidate,learner|course|condition,learner|author|tutor|institution|research-protocol|adaptive-rule,mixed,"Registrar fonte, validade, escopo, data e limitações; proibir inferência de esforço, expertise ou dificuldade a partir de sinais brutos.",#5|#6|#7
adaptation.authority,adaptation,Autoridade de adaptação,"Quem pode propor, aprovar, aplicar, bloquear ou desfazer uma adaptação.",accepted,absent,,learner|author|tutor|institution|research-protocol|accessibility-rule|deterministic-rule|AI-assistant-candidate,platform|course|condition|learner,same values,operational-choice,"Separar proposta, aprovação e aplicação; IA não deve ser autoridade final por padrão.",#5|#6|#7|#8
adaptation.application_mode,adaptation,Modo de aplicação,Como uma adaptação passa de proposta a estado efetivo.,accepted,absent,,none|preview-only|recommend-and-confirm|human-approve-batch|auto-apply-reversible|protocol-locked|accessibility-immediate,card|microsequence|course|condition|learner,learner|author|reviewer|institution|research-protocol|accessibility-rule,supported,"Recomendar `preview-only` ou `recommend-and-confirm` para IA; aplicação automática somente quando validada, reversível e autorizada.",#5|#6|#7|#8
adaptation.transparency,adaptation,Transparência da adaptação,"Informação oferecida sobre o que mudou, por quê, com base em quê e com quais limites.",accepted,absent,,none|change-summary|reason|evidence-basis|expected-effect|uncertainty|full-audit-record|role-appropriate,platform|course|condition|learner,product|author|research-protocol|adaptive-rule|AI-assistant,supported,Exigir resumo em linguagem comum e audit trail separado; não assumir que explicação completa evita overreliance.,#5|#6|#8
adaptation.override_policy,adaptation,Override e contestação,"Como a pessoa recusa, modifica, adia, apela ou substitui uma adaptação.",accepted,absent,,none|learner-reject|learner-modify|author-override|tutor-override|institution-appeal|protocol-exception|accessibility-override,card|microsequence|course|condition|learner,learner|author|tutor|institution|research-protocol|accessibility-rule,supported,"Toda adaptação relevante deve ser recusável ou contestável, salvo condição legal/protocolar explícita, com motivo e consequência claros.",#5|#6|#8
adaptation.rollback_policy,adaptation,Rollback,Como retornar a estado anterior ou comparar versões após uma mudança.,accepted,absent,,none|undo-current|restore-snapshot|compare-and-restore|new-version-only|protocol-prohibited,card|microsequence|course|condition|learner,learner|author|reviewer|institution|research-protocol,operational-choice,Exigir reversibilidade para adaptações de autoria e uso pessoal; publicações imutáveis geram nova versão.,#5|#6|#7|#8
adaptation.snapshot_policy,adaptation,Snapshot de estado efetivo,O que deve ser registrado para reproduzir a configuração/adaptação aplicada.,accepted,absent,,none|parameter-diff|effective-configuration|content-and-configuration|condition-locked|full-provenance,course-version|placement|condition|learner-instance,product|research-protocol|institution,supported,Registrar configuração efetiva e diferenças relevantes sem coletar comportamento desnecessário.,#5|#6|#7
adaptation.fallback_policy,adaptation,Fallback da adaptação,"Comportamento quando modelo, capacidade, rede ou evidência necessária está indisponível.",accepted,absent,,fail-explicit|use-static-profile|retain-current-state|human-decision|required-online|defer-change,platform|deployment|course|condition|learner,product|author|institution|research-protocol,supported,"Usar fallback explícito e estável; nunca substituir silenciosamente modelo, conteúdo ou condição.",#5|#6|#7|#8
