id,year,front,source_type,title,doi,access,decision_use,limits
kestin-et-al-2025,2025,ai-learning-assistance,randomized controlled trial,AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting,10.1038/s41598-025-97652-6,full text,"Shows potential of carefully designed AI tutoring and supports function-specific, research-grounded AI profiles.","Custom tutor, selected content, one institution/domain and short intervention; not evidence for general autonomous AI."
bastani-et-al-2025,2025,ai-learning-assistance,large field experiment,Generative AI without guardrails can harm learning: Evidence from high school mathematics,10.1073/pnas.2422633122,full text,"AI can improve practice performance while reducing unaided acquisition; motivates guardrails, cognitive effort preservation and no automatic answer substitution.",Mathematics and specific GPT-4 interfaces; guardrails and outcomes may not generalize.
bo-et-al-2024,2024,ai-transparency,classroom experiment,Disclosures & Disclaimers: Investigating the Impact of Transparency Disclosures and Reliability Disclaimers on Learner-LLM Interactions,10.1609/hcomp.v12i1.31597,full text,Disclaimers may reduce overreliance and prompt/system transparency affects confidence and behavior; transparency must be parameterized by purpose.,Single assignment and tutor; disclosures did not uniformly improve performance.
amershi-et-al-2019,2019,human-ai-interaction,guideline development and validation,Guidelines for Human-AI Interaction,10.1145/3290605.3300233,full text,"Supports communicating capability limits, supporting correction, scope-aware explanation, feedback, control and graceful failure.",General HAI guidelines; educational validity requires domain-specific adaptation.
bucinca-et-al-2021,2021,human-ai-interaction,controlled experiment,To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making,10.1145/3449287,full text preprint,Explanations alone do not ensure appropriate reliance; active review or prediction-before-AI can reduce overreliance with usability trade-offs.,Decision tasks outside education and subgroup moderation; forcing should not become universal friction.
dejong-et-al-2025,2025,human-ai-interaction,two controlled studies,Cognitive Forcing for Better Decision-Making: Reducing Overreliance on AI Systems Through Partial Explanations,10.1145/3710946,abstract/full text,Supports configurable partial explanations and reflection prompts rather than assuming full explanations are safest.,Non-educational tasks; partial explanations can create workload and accessibility concerns.
dietvorst-et-al-2018,2018,human-ai-interaction,three experiments,Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them,10.1287/mnsc.2016.2643,abstract/metadata,Supports editability and bounded override as adoption and control mechanisms for AI-generated recommendations.,Forecasting context; user modification can also reduce quality and needs provenance.
kucking-et-al-2024,2024,human-ai-interaction,empirical intervention study,Automation Bias in AI-Decision Support: Results from an Empirical Study,10.3233/SHTI240871,abstract/full text,"Human oversight is vulnerable to false agreement, especially among non-specialists; supports training, inspectability and non-authoritative defaults.",Clinical task and demographic effects; transfer to education is inferential.
gaudeul-et-al-2024,2024,human-ai-interaction,large mixed-method experiment,Understanding the Impact of Human Oversight on Discriminatory Outcomes in AI-Supported Decision-Making,10.3233/FAIA240598,full report/abstract,"Human-in-the-loop does not by itself correct biased AI; supports systemic controls, role training and explicit override guidance.","Consequential employment/lending decisions, not educational authoring."
cast-2024,2024,accessibility-udl,official framework,Universal Design for Learning Guidelines version 3.0,,full official guidance,"Supports designing multiple means of engagement, representation, action/expression and learner agency while addressing systemic barriers.","Framework, not a product-effect estimate; implementation must remain goal- and construct-aware."
cast-process-2026,2026,accessibility-udl,framework-development report,"UDL Guidelines 3.0: A Community-Driven, Research-Based Process Toward Fulfilling the Promise of Universal Design for Learning",,full article,Supports treating accessibility and learner variability as design inputs and involving affected users in validation.,Process report; does not define ARA parameters or conformance.
w3c-wcag22-2023,2023,accessibility-standards,technical standard,Web Content Accessibility Guidelines (WCAG) 2.2,,full standard,"Provides testable baseline for perceivable, operable, understandable and robust interfaces across desktop and mobile.",Does not cover every cognitive/accessibility need and does not define pedagogical equivalence.
almeqdad-et-al-2023,2023,accessibility-udl,systematic review and meta-analysis,The effectiveness of universal design for learning: A systematic review of the literature and meta-analysis,10.1080/2331186X.2023.2218191,full text,Supports retaining UDL as evidence-informed design family while avoiding claims that one implementation is universally effective.,Heterogeneous interventions and quality; UDL components are inconsistently operationalized.
devitt-et-al-2025,2025,accessibility-udl,systematic review,A Systematic Literature Review on the Effectiveness of Universal Design for Learning in Second-Level Education,10.34874/PRSM.ijududl-vol1iss1.4913,full text,Finds positive academic/social signals but less implementation of autonomy and self-regulation; supports explicit P3 integration.,Young evidence base and heterogeneous mainstream-school interventions.
panjwani-charania-zhai-2024,2024,accessibility-ai,systematic review,AI for Students with Learning Disabilities: A Systematic Review,10.1093/oso/9780198882077.003.0021,abstract/chapter metadata,Shows accessibility opportunities but narrow condition coverage; supports disability-specific validation and no universal AI accommodation.,Ten of sixteen studies concern dyslexia; limited evidence for other disabilities.
ai-vr-inclusion-2024,2024,accessibility-ai,systematic review,Impact of Artificial Intelligence and Virtual Reality on Educational Inclusion,10.3390/educsci14111223,full text,"Supports possible personalization and assistive functions while requiring inclusion, accessibility, social and implementation evaluation.",Combines AI and VR and heterogeneous studies; evidence quality and long-term outcomes vary.
unesco-2023,2023,ai-governance,official guidance,Guidance for generative AI in education and research,,full publication,"Supports human-centred, age/role-appropriate, privacy-protective, validated and capacity-building use of GenAI.","Guidance, not empirical proof; jurisdiction-specific rules remain separate."
nist-airmf-2023,2023,ai-governance,official risk framework,Artificial Intelligence Risk Management Framework (AI RMF 1.0),10.6028/NIST.AI.100-1,full publication,"Supports continuous govern-map-measure-manage lifecycle, documentation of intended use, affected actors, risks and monitoring.",Cross-sector framework; not an educational product specification and currently under revision.
nist-genai-2024,2024,ai-governance,official risk profile,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,10.6028/NIST.AI.600-1,full publication,"Supports risk documentation for confabulation, data privacy, human-AI configuration, provenance, content integrity and evaluation.",Not education-specific and does not determine product defaults.
scheiter-2021,2021,learner-control,research synthesis chapter,The Learner Control Principle in Multimedia Learning,10.1017/9781108894333.043,abstract/chapter metadata,"Supports conditional learner control, advisement and expertise-sensitive design rather than unlimited options.",Chapter synthesis and multimedia focus; not current AI authoring.
alewen-koedinger-2002,2002,metacognitive-support,classroom experiments,An effective metacognitive strategy: learning by doing and explaining with a computer-based Cognitive Tutor,10.1207/s15516709cog2602_1,abstract/metadata,Supports self-explanation as an optional learning operation and distinguishes AI answer production from prompts that preserve learner reasoning.,Geometry and rule-based tutor; natural-language LLM assistance differs.
zhao-et-al-2026,2026,ai-learning-assistance,randomized controlled trial,Effectiveness of a generative AI-powered digital tutor integrated with a knowledge graph in anatomy education for nursing students,,full text/abstract,Current evidence for blended GenAI and knowledge-graph tutoring; supports bounded domain/context and comparison with non-AI teaching.,"Recent single-college anatomy context; intervention bundles AI, graph and instructional model."
