source_id,source_class,year,title,author_or_org,access_status,decision_contribution,limitation,url
ARA-P5-027,implemented-system,2026,H5P licensing,H5P,full documentation,Demonstrates explicit content/code licensing and reuse expectations.,Does not by itself solve per-asset license compatibility.,https://h5p.org/licensing
ARA-P5-028,primary-study,2024,Human-AI Co-Creation of Worked Examples for Programming Classes,Hassany et al.,paper/preprint,Shows AI-generated starting drafts edited by instructors and evaluates explanation quality.,Single domain and resource type; does not establish autonomous publication.,https://arxiv.org/abs/2402.16235
ARA-P5-029,primary-study,2026,PedaCo-Gen: Scaffolding Pedagogical Agency in Human-AI Collaborative Video Authoring,"Baek, Kim & Kwak",paper/preprint,"Supports intermediate representations, educator review/refinement and pedagogical-agency scaffolding.",Small expert study focused on instructional video generation.,https://arxiv.org/abs/2602.19623
ARA-P5-030,primary-study,2023,Can We Trust AI-Generated Educational Content?,Denny et al.,paper/preprint,Blind evaluation found some AI resources comparable to peer-created resources while noting exemplar mirroring and limited scope.,Perceived quality in introductory programming; not long-term learning or broad domains.,https://arxiv.org/abs/2306.10509
ARA-P5-031,primary-study,2026,Evaluating LLM Workflows for Generating Clinical Communication Assessment Items,Runyon et al.,full paper/ACL,Constrained workflows outperformed exploratory branching; most items still required SME revision.,High-stakes clinical domain; workflow and rubric specific.,https://aclanthology.org/2026.bea-1.12/
ARA-P5-032,primary-study,2025,ELI-Why: Evaluating the Pedagogical Utility of Language Model Explanations,Joshi et al.,full paper/ACL,Shows frequent mismatch between generated explanations and intended learner level/information need.,Explanations benchmark; not course-scale authorship.,https://aclanthology.org/2025.findings-acl.1306/
ARA-P5-033,primary-study,2025,COGENT: Curriculum-oriented Grade-appropriate Educational Content,Liu et al.,full paper/ACL,"Shows benefits of explicit curriculum components, readability controls and multidimensional evaluation.",Focused on passages and science curricula; evaluation includes model judges.,https://aclanthology.org/2025.bea-1.10/
ARA-P5-034,primary-study,2025,LLMs are Biased Teachers,Weissburg et al.,full paper/ACL,"Finds demographic bias in generated/selected educational content, supporting bias review and bounded personalization.",Synthetic/evaluative setup; does not prescribe full mitigation workflow.,https://aclanthology.org/2025.findings-naacl.314/
ARA-P5-035,primary-study,2026,IDEAlign: Comparing Ideas of LLMs to Domain Experts,Nam et al.,full paper/ACL,Finds automated similarity metrics and LLM judges fall short of expert nuance; useful for triage rather than substitution.,Educational datasets are limited; not a publication workflow study.,https://aclanthology.org/2026.eacl-long.182/
ARA-P5-036,primary-study,2026,PeerCheck: Enhancing LLM-Generated Academic Reviews,Chen et al.,full paper/ACL,Shows LLM-human review differences and variable effects of prompting/RAG; review assistance remains model-dependent.,Academic paper review differs from course QA.,https://aclanthology.org/2026.findings-acl.1170/
ARA-P5-037,primary-study,2025,ReviewEval: Evaluation Framework for AI-Generated Reviews,Garg et al.,full paper/ACL,"Operationalizes accuracy, depth, constructiveness and guideline adherence with iterative refinement.",Evaluation metrics remain domain- and benchmark-dependent.,https://aclanthology.org/2025.findings-emnlp.1120/
ARA-P5-038,primary-study,2024,Is LLM a Reliable Reviewer?,"Zhou, Chen & Yu",full paper/ACL,"Finds LLM review assistance useful but error-prone, weak on long inputs and critical feedback.",Academic paper review; models studied may age quickly.,https://aclanthology.org/2024.lrec-main.816/
ARA-P5-039,primary-study,2026,Learning to Judge: LLMs Designing and Applying Evaluation Rubrics,Siro et al.,full paper/ACL,LLMs can generate interpretable criteria but scoring reliability degrades for factual and knowledge-intensive tasks.,Does not justify self-authored rubrics as sole authority.,https://aclanthology.org/2026.findings-eacl.335/
ARA-P5-040,primary-study,2019,Evaluating a blended course: why Quality Matters,Adachi et al.,full article,Illustrates iterative self-evaluation and rubric-guided course improvement.,Single course/context; does not establish causal effectiveness of the rubric.,https://link.springer.com/article/10.1186/s41239-019-0137-2
ARA-P5-041,primary-study,2014,OpenCourseWare Observatory,"Vahdati, Lange & Auer",paper/preprint,"Shows reuse, freshness and fitness-for-use problems across OCW repositories.",Older ecosystem sample; metrics do not map directly to ARA.,https://arxiv.org/abs/1410.5694
ARA-P5-042,systematic-review,2025,Scaling Success: Peer Grading Strategies,Paul et al.,paper/preprint,Highlights no universally optimal reviewer-weighting strategy and supports hybrid/formative review designs.,Peer grading of student work differs from authoring QA.,https://arxiv.org/abs/2508.11677
ARA-P5-043,research-principles,2019,Software Citation Implementation Challenges,Katz et al.,paper/preprint,"Supports unique identification, persistence, accessibility, specificity, attribution and version-aware citation.",Software citation principles require adaptation for educational units.,https://arxiv.org/abs/1905.08674
