parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
authoring.source_anchor_granularity,authoring,Granularidade da ancoragem,Unidade em que a relação entre fonte e conteúdo é registrada.,accepted,absent,,course|part|microsequence|card|claim|resource|practice|mixed,artifact,author|reviewer|institution|research-protocol,protocol/institution > risk-based policy > author,design-hypothesis,Permitir ancoragem em microsequência/card/claim conforme risco; evitar bibliografia sem relação recuperável.,authoring.source_grounding|authoring.provenance_capture,,Permite auditoria de cobertura de fontes; não valida verdade automaticamente.,Anchors devem funcionar com teclado e leitores de tela.,#5|#6|#7|#8
authoring.contribution_attribution,authoring,Atribuição de contribuição,Descrição estruturada do que humanos e agentes contribuíram.,accepted,absent,,none|free-text|role-taxonomy|activity-level|artifact-level|mixed,workspace|artifact|activity,owner|institution|publisher,rights > institutional policy > contributor declaration,supported,"Registrar papéis e atividades, adaptando princípios como CRediT sem confundir contribuição com autoria jurídica.",authoring.agent_identity|authoring.provenance_capture,,Atribuição apoia accountability; não mede mérito.,Atribuições devem ser apresentadas em linguagem compreensível.,#5|#6|#7|#8
authoring.provenance_capture,authoring,Captura de provenance,"Registro de entidades, atividades, agentes, fontes, versões e derivações.",accepted,implicit-value,revision-and-source-records,none|minimal|activity-log|version-lineage|source-lineage|complete-bundle,workspace|artifact|activity|publication,system|institution|research-protocol,privacy/confidentiality > protocol > institutional retention > product default,supported,"Adotar provenance mínima e extensível; considerar PROV/C2PA como mapeamentos, não domínio obrigatório.",versioning.identity_policy|authoring.context_snapshot,,Provenance é requisito de interpretação e auditoria.,Expor visão resumida; grafos precisam de alternativa textual.,#5|#6|#7|#8
authoring.output_status,authoring,Estado da saída,Estado editorial explícito de uma contribuição ou artefato.,accepted,explicit-value,planned|generated|needs_review|ready,planned|suggestion|draft|generated|validated-structure|needs_review|audited|ready|approved|rejected|superseded,artifact|selection,author|reviewer|approver|system-validation,rights > protocol/institution gate > reviewer/approver > author > agent,supported,"Usar estados distintos; validação, auditoria, aprovação e publicação nunca são sinônimos.",authoring.structural_validation|review.outcome|publication.status,agent self-promotion to approved/published,Transições são auditáveis; não provam qualidade ou eficácia.,"Estados precisam de texto, não só cor.",#5|#6|#7|#8
authoring.structural_validation,authoring,Validação estrutural,"Verificação determinística de contrato, referências e invariantes.",accepted,explicit-value,deterministic-before-write/publish,none|on-save|pre-audit|pre-approval|pre-publication|continuous,artifact|operation,system|contract-owner,safety/security > contract > workflow policy,supported,Validar antes de auditoria/publicação; erro de schema não é achado pedagógico.,authoring.output_status|publication.gate,,Resultados de validação são operacionais; não educacionais.,Mensagens devem identificar alvo e correção em linguagem clara.,#5|#6|#7|#8
authoring.capability_discovery,authoring,Descoberta de capacidades,Forma de o agente consultar apenas contratos e ferramentas necessários.,accepted,explicit-value,selective-MCP-discovery,monolithic-schema|summary-then-detail|capability-query|profile-scoped|manual-only,operation|deployment,system|institution|owner,security/availability > deployment > requester,design-hypothesis,Recomendar descoberta seletiva por metadados; rejeitar catálogo monolítico no contexto.,governance.unavailable_capability,,Logs de descoberta são operacionais e podem medir custo; não qualidade.,Usuário vê capacidades em linguagem funcional.,#5|#6|#7|#8
review.type,review,Tipo de revisão,Natureza da revisão aplicada ao artefato.,accepted,explicit-value,audit-and-reaudit,self-review|AI-audit|peer-review|SME-review|instructional-design-review|accessibility-review|legal/licensing-review|institutional-QA|composite,artifact|course|condition|publication,author|reviewer|institution|research-protocol,rights/safety > protocol/institution > risk-based review > author,supported,Permitir tipos separados e composição por risco; não exigir revisão oficial para todo estudo pessoal.,review.rubric|review.reviewer_qualification,,Tipo precisa acompanhar findings e versões.,Accessibility review não pode ser substituída por checklist genérico.,#5|#6|#7|#8
review.rubric,review,Rubrica de revisão,Conjunto versionado de critérios e evidências exigidas.,accepted,implicit-value,AraLearn-audit-criteria,none|project-core|domain-specific|QM-mapped|OSCQR-mapped|institutional|protocol-fixed|custom-versioned,review|artifact-type,institution|research-protocol|review-lead|owner,law/accessibility > protocol/institution > project core > custom,supported,"Usar rubrica versionada, com critérios de pedagogia, conteúdo, acessibilidade, provenance, licenciamento e fidelidade.",review.type|review.outcome,unversioned opaque rubric as publication gate,"Rubrica e resultado integram QA, não evidência de eficácia.",Critérios e formulários devem ser acessíveis.,#5|#6|#7|#8
review.scope,review,Escopo da revisão,Unidades e relações examinadas numa rodada.,accepted,explicit-value,requested-part-or-microsequences,artifact|selection|part|course|dependencies|variant-diff|publication-package|workspace,review,reviewer|review-lead|requester,publication/protocol gate > review mandate > requester,supported,Registrar escopo e exclusões; revisão local não aprova automaticamente o curso inteiro.,authoring.scope|review.finding_record,,Escopo é denominador para QA e cobertura.,Seleção e cobertura precisam de lista textual.,#5|#6|#7|#8
review.independence,review,Independência da revisão,Separação entre contexto/autoridade de quem produziu e de quem avalia.,accepted,implicit-value,same-GPT-separate-round-no-repair,same-author-self-review|same-agent-frozen-snapshot|separate-agent|human-peer|external-SME|multi-reviewer,review|publication,institution|research-protocol|owner|review-lead,high-risk/institutional gate > protocol > workspace policy > owner,mixed,"Para baseline, congelar snapshot e separar rodada; para alto risco, exigir humano/SME ou segundo revisor.",governance.separation_of_duties|versioning.revision_policy,review that silently repairs its own target,"Independência é atributo do processo, não garantia de correção.",Revisor deve receber formatos acessíveis equivalentes.,#5|#6|#7|#8
review.reviewer_qualification,review,Qualificação do revisor,Capacidade exigida para revisar determinado aspecto.,accepted,absent,,none|author-self|trained-peer|subject-matter-expert|instructional-designer|accessibility-specialist|legal/privacy|institutional-authority|AI-triage,criterion|review,institution|review-lead|protocol,law/safety > protocol > institution > risk classification,supported,Vincular critérios a competências; IA pode triar; não substituir especialista em áreas críticas.,review.type|review.rubric,,Qualificação integra provenance e interpretação do review.,A revisão de acessibilidade exige competência específica ou validação adequada.,#5|#6|#7|#8
review.outcome,review,Resultado da revisão,Estado formal produzido pela revisão.,accepted,explicit-value,adequate-or-findings,no-blocker|findings|changes-requested|conditionally-acceptable|approved-for-next-gate|rejected|inconclusive,review|artifact,reviewer|review-lead|approver,publication/protocol gate > qualified reviewer > author,supported,Separar findings de aprovação; permitir inconclusivo e mudanças condicionais.,review.finding_record|review.approval_policy,automatic ready/published from no parser error,Outcome precisa ser ligado a rubrica; escopo e versão.,Resultados devem ser claros e acionáveis.,#5|#6|#7|#8
review.finding_record,review,Registro de achado,"Estrutura de localização, tipo, gravidade, impacto, recomendação e estado.",accepted,explicit-value,location-type-impact-severity-repair-scope,free-text|structured|criterion-linked|source-linked|duplicate-grouped,finding,reviewer|review-lead,review rubric > reviewer judgement,supported,"Exigir localização legível, impacto, gravidade, reparo e escopo; agrupar duplicatas sem perder rastreabilidade.",annotation.target|repair.scope,,Findings permitem QA e workload; não são medida de competência do autor.,Localização e evidência precisam de alternativa textual.,#5|#6|#7|#8
review.approval_policy,review,Política de aprovação,Regra que converte resultados de revisão em autorização para o próximo gate.,accepted,implicit-value,human-explicit-ready/publish,none|author-acceptance|single-qualified-review|two-person|SME-plus-ID|institutional-board|protocol-fixed,artifact|publication|condition,owner|institution|research-protocol|approver,law/rights > protocol > institution > qualified approval > owner,supported,Não permitir que o agente aprove o próprio trabalho; ajustar rigor ao risco e contexto.,review.outcome|governance.approval_rule,same contribution identity as sole required approver,Aprovação é decisão de governança; não outcome educacional.,Processo precisa admitir participação acessível do aprovador.,#5|#6|#7|#8
repair.authority,repair,Autoridade de reparo,Quem pode aplicar alterações depois de um achado ou observação.,accepted,explicit-value,requester-approved-GPT-repair,author|assigned-repairer|GPT-on-explicit-request|reviewer-candidate|institutional-maintainer|none,artifact|finding,owner|author|institution|workspace-policy,rights/confidentiality > protocol/institution > owner/author > agent,supported,Reparo por GPT exige pedido/autoridade e alvo persistido; revisor não altera silenciosamente.,review.finding_record|annotation.resolution_link,automatic repair triggered by review without authorization,Autoridade e atividade integram audit log.,Usuário deve conseguir autorizar e recusar sem interface técnica.,#5|#6|#7|#8
repair.scope,repair,Escopo de reparo,Limite exato das mudanças autorizadas.,accepted,explicit-value,approved-findings-only,finding|card|microsequence|selection|dependency-neighborhood|part|course|workspace,repair,requester|author|institution|protocol,publication/protocol constraints > explicit approval,supported,Alterar somente problemas aprovados; expansão exige nova autorização.,authoring.scope|review.finding_record,opportunistic unrelated edits,Escopo permite comparar custo e regressões.,Alvos devem ser identificáveis de forma navegável.,#5|#6|#7|#8
repair.change_policy,repair,Política de mudança,Regra para preservar identidade ou criar nova revisão/derivação.,accepted,implicit-value,semantic-change-new-revision,in-place-draft|new-revision|fork|replacement|revert|no-change,artifact|relation,author|institution|publication-policy,published immutability > protocol snapshot > authoring state,supported,Mudança semântica gera nova revisão; publicado não é reescrito silenciosamente.,versioning.revision_policy|versioning.derivation_relation,,Mudanças precisam ser ligadas a findings e versão.,Diff deve ser acessível e resumido.,#5|#6|#7|#8
repair.regression_check,repair,Verificação de regressão,Cobertura exigida após alteração.,accepted,explicit-value,reaudit-corrections-and-regressions,none|structural-only|finding-specific|dependency-neighborhood|full-selection|publication-package,repair|review,reviewer|system|review-lead,publication/protocol gate > risk policy,supported,"Verificar correções, regressões e consistência; testes estruturais não substituem reauditoria.",repair.reaudit_policy|authoring.structural_validation,,Resultados são QA operacional.,Testes devem incluir acessibilidade quando afetada.,#5|#6|#7|#8
repair.reaudit_policy,repair,Política de reauditoria,Regra para revisão do estado reparado.,accepted,explicit-value,recommended-separate-round,none|optional|required-for-ready|required-for-publish|required-by-severity|protocol-fixed,artifact|finding|publication,owner|institution|research-protocol|review-lead,protocol/institution > severity policy > owner,supported,Exigir para alterações críticas/publicação; permitir dispensa explícita em estudo pessoal.,review.independence|repair.regression_check,,Reauditoria deve apontar versão reparada.,Revisor acessa mesma representação funcional do usuário.,#5|#6|#7|#8
annotation.target,annotation,Alvo da observação,"Entidade, ocorrência, trecho ou relação à qual a observação se refere.",accepted,explicit-value,card-or-contextual-workspace-target,course|module|lesson|microsequence|placement|card|resource|practice|relation|configuration|text-selection|variant-diff,annotation,commenter|system-selector,permission > commenter intent,supported,Usar identidades estáveis e ocorrência contextual; evitar tag textual ambígua como único alvo.,versioning.identity_policy,,Alvo sustenta triagem e reparo; observação não implica erro.,Seletores precisam de fallback textual e contexto.,#5|#6|#7|#8
annotation.motivation,annotation,Motivação da observação,Finalidade declarada da anotação.,accepted,implicit-value,question|possible-error|confusion|suggestion|observation,commenting|questioning|assessing|possible-error|confusion|suggestion|classification|approval-note|repair-request,annotation,commenter|workspace-policy,safety/reporting > user intent > default,supported,Representar motivação separada do texto; considerar mapeamento ao Web Annotation Model.,annotation.target|annotation.status,,Motivação permite filas por pergunta; não mede compreensão.,Categorias devem aceitar texto livre e não estigmatizante.,#5|#6|#7|#8
annotation.visibility,annotation,Visibilidade da observação,Quem pode ler a anotação e em qual contexto.,accepted,implicit-value,personal-or-workspace-situated,private|author-team|review-team|workspace|institution|public|protocol-restricted,annotation|workspace,commenter|institution|research-protocol,privacy/confidentiality > protocol > institution > commenter,supported,Default pessoal ou situado; compartilhamento exige escopo explícito.,governance.confidentiality_class|governance.role_model,,Visibilidade não autoriza usar conteúdo em analytics.,Permissões e audiência devem ser explicadas.,#5|#6|#7|#8
annotation.status,annotation,Estado da observação,Lifecycle da anotação sem confundir resposta com resolução.,accepted,absent,,open|triaged|accepted|rejected|needs-information|repair-planned|resolved|superseded|withdrawn,annotation,commenter|triager|repairer|reviewer,commenter rights > workspace policy > triage,supported,Responder não resolve automaticamente; estados e justificativa precisam ser explícitos.,annotation.resolution_link|repair.scope,,Estado apoia workload e QA; não desempenho do autor.,Estado e ações devem ser textuais.,#5|#6|#7|#8
annotation.resolution_link,annotation,Vínculo de resolução,"Relação entre anotação, decisão, alteração e versão que a resolveu.",accepted,absent,,none|reply-only|finding-link|change-set|revision-link|publication-link|rejection-rationale,annotation|repair|revision,repairer|reviewer|publisher,auditability > workflow policy,supported,Vincular correção confirmada à observação e à revisão; não apagar histórico.,versioning.revision_policy|authoring.provenance_capture,,Permite tempo de ciclo e rastreabilidade; sem inferir qualidade individual.,Links devem abrir o alvo e fornecer resumo.,#5|#6|#7|#8
versioning.identity_policy,versioning,Política de identidade,"Regra para identidade estável de curso, microssequência, ocorrência, card e artefato.",accepted,implicit-value,stable-ids-with-revision,mutable-id|stable-lineage-plus-revision|content-addressed-candidate|imported-external-id|composite,entity|artifact|placement,product-domain|institution,domain invariant > migration policy,supported,Distinguir linhagem; revisão e ocorrência contextual; decisão normativa cabe a #6.,,,Identidade é base para diffs/provenance; não transfere mastery.,Identificadores técnicos devem ter rótulos legíveis.,#5|#6|#7|#8
versioning.revision_policy,versioning,Política de revisão,Como estados editáveis e versões imutáveis são criados e preservados.,accepted,explicit-value,expectedRevision-and-published-immutable,mutable-draft|immutable-revision|publication-snapshot|condition-snapshot|hybrid,entity|artifact|condition|publication,author|publisher|institution|research-protocol,protocol/published immutability > institution > author,supported,Preservar revisões publicadas/condições; rascunhos podem evoluir com controle de concorrência.,versioning.identity_policy|publication.status,,Toda análise referencia revisão efetiva.,Histórico e seleção de versão precisam ser compreensíveis.,#5|#6|#7|#8
versioning.derivation_relation,versioning,Relação de derivação,Tipo de relação entre artefatos e versões.,accepted,absent,,revision-of|derived-from|fork-of|adaptation-of|alternate-of|supersedes|reuses|imports|translation-of|variant-of,entity|revision|course|microsequence,author|system|publisher,provenance requirement > author declaration,supported,Registrar derivação explicitamente; considerar PROV-O como mapeamento.,authoring.provenance_capture|licensing.attribution_policy,,Derivação é necessária para variantes e licença.,Relações precisam de explicação textual.,#5|#6|#7|#8
versioning.fork_policy,versioning,Política de fork,Regra para criar linhagem independente a partir de uma unidade.,accepted,implicit-value,copy/import-preserves-origin,forbidden|personal-fork|workspace-fork|public-fork|confidential-copy|license-constrained,course|microsequence|resource,owner|institution|license-policy,license/confidentiality > institution > owner,mixed,Permitir fork explícito quando contexto ou licença autorizam; preservar origem e não propagar mudanças automaticamente.,reuse.mode|licensing.compatibility_policy,,Fork cria nova linhagem; não duplicata invisível.,Usuário deve entender independência e atualização.,#5|#6|#7|#8
versioning.diff_policy,versioning,Política de diff,"Representação das diferenças entre versões, variantes e condições.",accepted,absent,,none|structural|content|configuration|composition|capability|instrument|semantic-summary|composite,revision|course|condition,system|author|reviewer|research-protocol,protocol/publication need > user choice,supported,Oferecer diff por camadas e resumo legível; não reduzir mudança semântica a diff textual.,versioning.revision_policy|authoring.provenance_capture,,Diff é obrigatório para comparabilidade de variantes.,"Diff precisa de modo linear, não só cores/duas colunas.",#5|#6|#7|#8
versioning.merge_policy,versioning,Política de merge,Como alterações concorrentes ou forks podem ser combinados.,accepted,absent,,none|manual-select|three-way-candidate|author-mediated|review-mediated|new-composite|reject-conflict,draft|fork|workspace,author|maintainer|institution,confidentiality/license > publication snapshots > maintainer,design-hypothesis,Adiar merge automático; exigir revisão semântica e nova revisão resultante.,versioning.diff_policy|review.approval_policy,silent auto-merge of educational content,Conflitos e decisões integram provenance.,Resolução precisa de interface textual acessível.,#5|#6|#7|#8
versioning.rollback_policy,versioning,Política de rollback,Forma de retornar a estado anterior sem apagar história.,accepted,implicit-value,publish-new-or-repoint-explicitly,none|repoint-to-prior|new-revert-revision|withdraw-current|restore-draft|protocol-prohibited,course|microsequence|publication|condition,publisher|owner|institution|research-protocol,protocol/legal retention > institution > owner,supported,Rollback cria decisão auditável; não reescrever revisão publicada.,publication.withdrawal_policy|authoring.provenance_capture,,Rollback é evento editorial; não falha educacional.,Usuário deve ver consequências e cursos afetados.,#5|#6|#7|#8
reuse.search_scope,reuse,Escopo de busca para reutilização,Conjunto de unidades que o autor ou agente pode localizar.,accepted,absent,,current-course|personal-library|workspace|approved-courses|public-catalogue|institution-library|source-linked|none,operation|workspace,owner|institution|access-control|research-protocol,confidentiality/license > protocol > institution > owner,design-hypothesis,"Buscar apenas em escopos autorizados e expor origem, licença, estado e adequação.",authoring.context_authorization|governance.confidentiality_class,,Busca pode ser auditada para custo/provenance; não vigilância.,Resultados precisam ser filtráveis e descritivos.,#5|#6|#7|#8
reuse.mode,reuse,Modo de reutilização,Semântica da incorporação de conteúdo existente.,accepted,explicit-value,copy_entity/import-with-origin,reference|copy|fork|adapt|translate|embed-snapshot|link-only|prohibited,course|microsequence|resource,author|institution|license-policy,license/confidentiality > publication policy > author,mixed,Distinguir referência; cópia e fork; não ocultar atualização ou independência.,versioning.derivation_relation|reuse.context_fit_check,,Modo afeta unidade de comparação e provenance.,Consequências devem ser explicadas antes da ação.,#5|#6|#7|#8
reuse.context_fit_check,reuse,Verificação de adequação contextual,Critérios para aceitar unidade reutilizada numa nova posição.,accepted,absent,,none|author-check|dependency-check|terminology-check|difficulty-check|assessment-check|accessibility-check|full-audit,placement|course|condition,author|auditor|institution|research-protocol,protocol/institution > risk-based audit > author,supported,Exigir contexto; dependências; terminologia; difficulty e licença conforme risco; reutilização não é qualidade automática.,review.rubric|annotation.target,,Resultado é QA da composição.,Adequação inclui barreiras e alternativas.,#5|#6|#7|#8
reuse.update_propagation,reuse,Propagação de atualização,Como mudanças na origem chegam aos consumidores.,accepted,absent,,none|notify-only|manual-sync|preview-and-accept|auto-draft|auto-patch-candidate|locked-snapshot,reference|course|publication|condition,publisher|course-author|institution|research-protocol,condition/published lock > confidentiality/license > course author,supported,Padrão notify/preview; nunca alterar cursos publicados ou condições automaticamente.,versioning.revision_policy|publication.gate,global silent propagation,Versão efetiva precisa ser registrada por consumidor.,Aviso deve explicar impacto e fornecer diff acessível.,#5|#6|#7|#8
publication.status,publication,Estado de publicação,Lifecycle público/privado do artefato.,accepted,explicit-value,private-partial|complete|catalogue-gated,draft|private-preview|private-partial|ready|approved|published-private|published-shared|published-institutional|published-public|withdrawn|superseded|archived,course|microsequence|artifact,owner|publisher|institution|research-protocol,law/license/confidentiality > protocol > institution > owner,supported,Separar editorial de visibilidade; published não significa public.,publication.gate|publication.authority,,Status determina audiência e retenção; não qualidade educacional.,Status e audiência precisam ser explícitos.,#5|#6|#7|#8
publication.gate,publication,Gate de publicação,Conjunto de requisitos antes de publicar ou compartilhar.,accepted,explicit-value,explicit-request-and-readiness,none|structural-validation|all-targets-ready|audit-passed|human-approved|license-cleared|accessibility-reviewed|protocol-locked|institutional-approval|composite,publication|artifact,owner|institution|research-protocol|publisher,law/rights > protocol > institution > qualified approval > owner,supported,"Compor gates por perfil; prévia privada parcial pode ter gate menor, catálogo/público exige mais.",review.approval_policy|authoring.structural_validation|licensing.policy,,Gate e versão fazem parte da provenance.,Gate deve indicar pendências acionáveis.,#5|#6|#7|#8
publication.authority,publication,Autoridade de publicação,Papel autorizado a tornar versão disponível a uma audiência.,accepted,explicit-value,owner/editorial-capability,owner|author|publisher|institutional-approver|catalogue-editor|research-protocol|none,publication|workspace,institution|owner|catalogue-policy|research-protocol,law/confidentiality > protocol > institution/catalogue > owner,supported,GPT nunca publica por conclusão implícita; autoridade deve ser explícita e verificada.,governance.role_model|publication.gate,agent self-publication without explicit delegated capability,Autoridade integra audit trail.,Confirmação precisa ser clara e reversível quando possível.,#5|#6|#7|#8
publication.preview_policy,publication,Política de prévia,Forma de visualizar e testar conteúdo não final.,accepted,explicit-value,private-partial-allowed,none|local-preview|private-partial|review-link|condition-preview|public-draft-prohibited,artifact|course|workspace,owner|author|reviewer|institution,confidentiality/protocol > workspace policy > owner,supported,Permitir prévia privada e incompleta; marcar claramente estado e impedir confusão com versão aprovada.,publication.status|governance.confidentiality_class,,Uso de preview não é resultado educacional.,Prévia deve refletir acessibilidade real e estados offline.,#5|#6|#7|#8
publication.withdrawal_policy,publication,Política de retirada,Tratamento de conteúdo publicado que deixa de ser oferecido.,accepted,absent,,none|unlist|revoke-new-access|withdraw-with-tombstone|supersede|legal-takedown|protocol-retain,publication|course|microsequence,publisher|institution|rights-holder|research-protocol,law/rights > protocol retention > institution > publisher,supported,Distinguir retirada; revogação; supersessão e exclusão; preservar registros necessários.,publication.deletion_policy|versioning.rollback_policy,,Retirada altera disponibilidade; não apaga automaticamente evidência.,Mensagens devem indicar alternativa ou versão substituta.,#5|#6|#7|#8
publication.deletion_policy,publication,Política de exclusão,"Semântica de remoção de rascunhos, referências e artefatos.",accepted,implicit-value,archive/withdrawal-not-hard-delete,remove-from-composition|delete-unreferenced-draft|archive|tombstone|anonymize|hard-delete-when-permitted|retain-by-obligation,entity|workspace|publication,owner|institution|rights-holder|research-protocol,law/participant-rights > protocol/retention > references > owner,mixed,Definir exclusão por estado e referências; evitar hard delete que quebra cursos ou provenance.,governance.retention_policy|publication.withdrawal_policy,,Exclusão precisa de impacto e audit trail mínimo.,Usuário deve entender o que será removido ou preservado.,#5|#6|#7|#8
licensing.policy,licensing,Política de licença,Licença ou base de uso aplicável ao artefato.,accepted,absent,,all-rights-reserved|private-use|institutional-terms|CC0|CC-BY|CC-BY-SA|CC-BY-NC|CC-BY-NC-SA|CC-ND-family|mixed-assets|unknown-block-publication,course|microsequence|resource|asset|publication,rights-holder|institution|publisher,law/rights > license terms > publication policy,supported,Registrar licença por escopo; desconhecida ou incompatível bloqueia reutilização/publicação relevante.,licensing.third_party_material|licensing.compatibility_policy,,Licença é provenance e capability constraint.,Licença e restrições devem ter resumo legível.,#5|#6|#7|#8
licensing.attribution_policy,licensing,Política de atribuição,"Informações de crédito, origem, licença e mudanças.",accepted,absent,,none|TASL-like|contributor-roles|source-chain|asset-level|course-summary|machine-readable-plus-human,artifact|asset|publication,publisher|rights-holder|institution,license/legal requirement > institutional policy > author preference,supported,Capturar título/criador/fonte/licença/mudanças conforme aplicável e contributions humano–IA.,authoring.contribution_attribution|versioning.derivation_relation,,Atribuição não mede impacto; sustenta accountability.,Créditos precisam ser acessíveis sem interromper estudo.,#5|#6|#7|#8
