source_id,author_org,title,year,front,access_status,decision_relevance,url
P4-26,APA JARS,Journal Article Reporting Standards,2018,mixed-method-reporting,official-standard,"quantitative, qualitative and mixed-method studies need method-specific transparency",https://apastyle.apa.org/jars
P4-27,FAIR Principles,FAIR Guiding Principles,2016,data-management,full-text,"research data should be findable, accessible, interoperable and reusable under governance and metadata",https://doi.org/10.1038/sdata.2016.18
P4-28,CARE Principles,CARE Principles for Indigenous Data Governance,2019,data-governance,official-principles,"collective benefit, authority to control, responsibility and ethics complement technical data principles",https://www.gida-global.org/care
P4-29,DataCite,DataCite Metadata Schema,2024,provenance,official-spec,persistent identifiers and structured metadata support dataset and artifact citation and versioning,https://schema.datacite.org/
P4-30,Open Science Framework,Registrations and preregistration,2026,research-workflow,official-doc,"time-stamped registrations can preserve hypotheses, methods, outcomes and analysis plans",https://help.osf.io/article/330-welcome-to-registrations
P4-31,ROR,Research Organization Registry,2026,research-identity,official-registry,persistent organization identifiers can improve provenance across institutions,https://ror.org/
P4-32,ORCID,ORCID record and identifiers,2026,research-identity,official-registry,persistent contributor identifiers support attribution and provenance,https://info.orcid.org/
P4-33,UK ICO,Anonymisation and pseudonymisation guidance,2025,privacy,official-guidance,pseudonymisation reduces but does not eliminate identifiability; governance and reidentification risk remain,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/data-sharing/anonymisation/
P4-34,EDPB,Guidelines on consent under GDPR,2020,consent,official-guidance,"consent must be freely given, specific, informed, unambiguous and withdrawable",https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-052020-consent-under-regulation-2016679_en
P4-35,OECD,Recommendation on Enhancing Access to and Sharing of Data,2021,data-governance,official-recommendation,"data access and sharing require risk management, rights, incentives and accountability",https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0463
P4-36,OpenTelemetry,Semantic conventions,2026,technical-observability,official-spec,operational telemetry semantics are useful for system health but must remain distinct from learning analytics,https://opentelemetry.io/docs/specs/semconv/
