parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
review.failure_policy,review,Política após dificuldade em revisão,Resposta do sistema quando a evidência em revisão não atende ao critério.,accepted,implicit-value,feedback-and-learner-choice,no-state-change|repeat-later|targeted-review|worked-example|hint-ladder|prerequisite-route|human-support|criterion-reopen,concept|microsequence|course|condition,author|institution|research-protocol|learner,accessibility > protocol > institution > author > learner,mixed,Não apagar conclusão estrutural; reabrir mastery apenas se a política assim definir.,progression.recheck_policy|progression.remediation_policy,silent downgrade or punitive lock in personal profile,Failure handling can change the intervention and must be recorded.,Support must remain accessible and non-stigmatizing.,#5|#6|#8
examples.availability,examples,Disponibilidade de exemplo resolvido,Quando um exemplo completo ou parcial pode ser consultado.,accepted,explicit-value,author-provided-when-needed,none|always-visible|before-practice|on-request|after-error|after-limit|review-only|instructor-release,card|microsequence|course|condition,author|institution|research-protocol|learner-within-policy,protocol/institution > author > learner; accessibility may require equivalent explanation,supported,Exemplos recomendados para novatos e tarefas complexas; disponibilidade não deve ser universal.,examples.position|examples.completeness|practice.purpose,summative measurement with unrestricted example access,Example access changes practice condition and must be recorded when studied.,Examples need accessible alternatives for visual or symbolic steps.,#5|#6|#8
examples.position,examples,Posição do exemplo,"Relação temporal entre exemplo, tentativa e problema independente.",accepted,implicit-value,before-guided-practice,before-first-attempt|example-problem-pair|problem-example-pair|after-error|after-attempt-set|review-stage|mixed,card|microsequence|condition,author|research-protocol|institution,protocol > institution > author,mixed,"Recomendar example-before-problem para novatos estruturados, mas exigir problema independente na sequência.",examples.availability|scaffolding.fading_policy,worked-examples-only profile for skill mastery without later active problem solving,Position is an experimental condition and affects comparison.,Navigation between example and problem must preserve context.,#5|#6
examples.completeness,examples,Completude do exemplo,"Quantidade de solução, decisão e justificativa já fornecida.",accepted,implicit-value,complete-then-partial,complete|faded-steps|completion-problem|outline-only|error-example|multiple-solution|contrastive-example,card|microsequence|condition,author|research-protocol,protocol > author; learner may request more support if allowed,supported,Usar complete/faded conforme expertise e tarefa; nunca remover dados necessários do problema.,scaffolding.fading_policy|response.cognitive_demand,missing essential task information mislabeled as fading,Completeness affects cognitive demand and outcome interpretation.,Partial examples need accessible indication of missing steps.,#5|#6|#8
examples.explanation_policy,examples,Explicação do exemplo,Conteúdo explicativo que acompanha passos e decisões.,accepted,implicit-value,concept-and-procedure-as-needed,none|step-labels|conceptual-rationale|procedural-rationale|self-explanation-prompts|error-explanation|comparison|human-commentary,card|microsequence|condition,author|research-protocol,protocol > author; learner controls optional prompts where permitted,mixed,Evitar exemplos ambíguos e sem racional; prompts não devem ser obrigatórios universalmente.,examples.completeness|scaffolding.type,long generic explanation causing redundancy,Explanation type is distinct from example presence.,Prompts and rationale need language and screen-reader support.,#5|#6|#8
scaffolding.type,scaffolding,Tipo de scaffold,Função do apoio temporário oferecido durante tarefa ou percurso.,accepted,implicit-value,conceptual|procedural-local,conceptual|procedural|strategic|metacognitive|representational|motivational|navigation|social-human,card|microsequence|course|condition,author|institution|research-protocol,protocol/institution > author; learner can request optional support,supported,Aceitar tipos separados; não tratar toda ajuda como hint.,scaffolding.access_policy|scaffolding.fading_policy,scaffold with no target or exit condition,Support type affects mechanism and confounds.,Alternative accessible scaffolds may be required.,#5|#6|#8
scaffolding.access_policy,scaffolding,Acesso ao scaffold,Como e quando o apoio é disponibilizado.,accepted,implicit-value,authored-inline|learner-request,always|learner-request|after-error|after-struggle-signal|author-release|human-offer|protocol-fixed|adaptive-candidate,card|microsequence|condition|learner,learner|author|institution|research-protocol|adaptive-rule|accessibility-rule,accessibility > protocol > institution > author > learner > adaptive candidate,mixed,Learner-request e autoria explícita no primeiro perfil; adiar detecção automática de struggle.,scaffolding.type|telemetry.attempt_capture,support triggered by unauthorized behavioral inference,Trigger cannot be interpreted without governance and measurement validity.,Access must be possible without fine motor precision or hidden gestures.,#5|#6|#8
scaffolding.fading_policy,scaffolding,Política de retirada de apoio,"Regra para reduzir, manter ou restaurar scaffolds.",accepted,implicit-value,authored-gradual,none|fixed-fading|stepwise-completion|expertise-based|criterion-based|learner-controlled|author-controlled|protocol-fixed|restore-on-request,microsequence|course|condition|learner,learner|author|institution|research-protocol|adaptive-rule|accessibility-rule,accessibility > protocol > institution > author > learner,mixed,"Aceitar fading, mas rejeitar superioridade universal; garantir restauração e versionamento.",scaffolding.type|progression.evidence_basis,automatic fading from unvalidated mastery estimate,Fading changes treatment and must be captured in research snapshots.,Restoration is an accessibility and error-recovery requirement.,#5|#6|#7|#8
segmentation.policy,segmentation,Política de segmentação,Critério para dividir conteúdo e prática em unidades coerentes.,accepted,implicit-value,microsequence-with-ordered-cards,continuous|meaningful-segments|learner-chosen-breaks|author-defined-breaks|protocol-defined-segments,resource|card|microsequence|lesson|condition,author|research-protocol|learner-within-permitted-breaks,protocol > author > learner,supported,Manter segmentos semanticamente coerentes; rejeitar microconteúdo arbitrário.,segmentation.control|resumption.state,fragmentation that removes prerequisites or context,Segment definition changes exposure and time.,Segment boundaries must not trap focus or hide content.,#5|#6|#8
segmentation.control,segmentation,Controle dos segmentos,"Quem avança, pausa, retorna ou reproduz segmentos.",accepted,implicit-value,learner-paced-navigation,learner-paced|system-paced|author-paced|protocol-paced|shared,resource|card|microsequence|condition,learner|author|research-protocol|accessibility-rule,accessibility > protocol > author > learner,mixed,Learner pace como referência; system pace somente com pausa/replay e justificativa.,pacing.authority|segmentation.policy,unpausable system pace for nonessential timing,Control affects learning time and must be distinct from sequence authority.,"Pause, replay and keyboard operation are required where applicable.",#5|#6|#8
resumption.state,resumption,Estado de retomada,Informação funcional mínima preservada para continuar após interrupção.,accepted,explicit-value,cursor-and-structural-state,none|cursor|cursor-plus-local-input|cursor-plus-step-state|snapshot-with-context,card|microsequence|lesson|learner-device,product|learner,privacy/accessibility > product default; protocol may restrict stored input,supported,Preservar cursor e estado local necessário; não coletar histórico comportamental.,resumption.context_cue|offline-storage,state loss or resume based only on recent telemetry,Functional state is not engagement evidence.,Local state and recovery must work with assistive technology.,#5|#6|#7|#8
resumption.context_cue,resumption,Pista de contexto na retomada,Informação apresentada para reativar objetivo e posição após interrupção.,accepted,implicit-value,current-card-and-breadcrumb,none|breadcrumb|previous-summary|current-goal|last-step|next-step|dependency-reminder|learner-note,card|microsequence|lesson|learner,author|product|learner,accessibility > learner preference > author/product default,supported,Exibir objetivo e posição; permitir resumo anterior e próximo passo sem gerar conteúdo novo automaticamente.,resumption.state|segmentation.policy,context cue that reveals assessment answer,Cue usage must not be treated as difficulty signal.,"Cue must be concise, perceivable and non-disruptive.",#6|#8
resumption.reentry_support,resumption,Apoio de reentrada,Ação opcional oferecida quando a pessoa retorna após pausa significativa.,accepted,absent,,none|resume-directly|brief-review|preview-next|self-check|worked-example|learner-choice|protocol-defined,microsequence|lesson|course|learner,learner|author|research-protocol,protocol > author > learner in locked study; learner default otherwise,design-hypothesis,Aceitar learner-choice no perfil móvel; adiar seleção automática por duração.,resumption.context_cue|review.trigger|examples.availability,automatic remedial branch inferred from absence duration,Reentry option changes exposure and should be explicit in research.,Choices must not stigmatize or require disclosure of absence reason.,#5|#6|#8
